slug,latitude,longitude,city,water_name,water
lacleman_gland_kubela,46.4028693,6.2819358,Gland,Lac Léman,l
lacleman_gland_lecoanets,46.4028106,6.2819586,Gland,Lac Léman,l
lacleman_vidy_santie,46.5183178,6.5896078,Lausanne,Lac Léman,l
langete_langenthal_geiserm,47.2165332,7.7923041,Langenthal,Langeten,r
lavey-la-source,46.200804,7.021866,Lavey-Morcles,Rhône,r
lavey-les-bains,46.2051587,7.012722,Lavey-Morcles,Rhône,r
lavey-les-bains-2,46.207726,7.011685,Lavey-Morcles,Rhône,r
le-pierrier,46.439727,6.888968,Montreux,Lac Léman,l
le-port,46.452245,6.85518,La Tour-de-Peilz,Lac Léman,l
les-glariers,46.176736,7.228925,Riddes,Rhône,r
les-vieux-ronquoz,46.2220487,7.361664,Sion,Rhône,r
leuk-mattenstrasse,46.3147545,7.6225205,Leuk,Rhône,r
lido,46.0020045,8.9621558,Lugano,Lago di Lugano,l
ligerz-strand,47.083979,7.135894,Ligerz,Bielersee,l
limmat_dietikon_keiserp,47.4079891,8.4095398,Dietikon,Limmat,r
limmat_unterengstringen_oggierbuhrer,47.4094003,8.4469334,Unterengstringen,Limmat,r
limmat_zuerich_jansena,47.4000247,8.4846847,Zürich,Limmat,r
limmat_zuerich_suterdglauserp,47.3945393,8.5134435,Zürich,Limmat,r
limmat_zuerich_wagnerc,47.4034956,8.4777701,Zürich,Limmat,r
limmat_zurich_mortensena_meiera,47.4002515,8.485411,Zürich,Limmat,r
linth_mollis,47.13137,9.094768,Glarus Nord,Linthkanal,r
linth_route9brucke,47.12573,9.11734,Glarus Nord,Escherkanal,r
linthdammweg,47.13179,9.09191,Weesen,Linthkanal,r
lorze_baar_blarere,47.1954019,8.540237,Baar,Lorze,r
lotschebach_bern_scheurerk,46.964946,7.4928359,Ostermundigen,Lötschebach,r
lugano-centro,46.002627,8.950724,Lugano,Lago di Lugano,l
luscherz-plage,47.0479551,7.151242,Lüscherz,Bielersee,l
luscherz-two,47.047519,7.1528292,Lüscherz,Bielersee,l
magadino-lido,46.1493486,8.8556628,Gambarogno,Lago Maggiore,l
maladaire,46.446296,6.87696,La Tour-de-Peilz,Lac Léman,l
mammern-swisslitterreport,47.6558366,8.9553168,Steckborn,Untersee,l
mannewil,46.996382,7.239024,Kallnach,Aare,r
mols-rocks,47.1143432,9.2881737,Quarten,Walensee,l
monte-generoso,45.929625,9.019921,Rovio,Alpes Lépontines,r
muhlehorn-dorf,47.118448,9.172124,Glarus Nord,Walensee,l
mullermatte,47.133339,7.227907,Biel/Bienne,Bielersee,l
murg-bad,47.115307,9.215691,Quarten,Walensee,l
murg_waengi_strickerr,47.49361,8.9615928,Wängi,Murg,r
