loc_date,date,location,team,pcs_m,quantity
"('baye-de-montreux-g', '2020-06-02')",2020-06-02,baye-de-montreux-g,HD,4.22,75
"('baye-de-montreux-g', '2020-07-14')",2020-07-14,baye-de-montreux-g,HD,5.8100000000000005,110
"('baye-de-montreux-g', '2020-08-11')",2020-08-11,baye-de-montreux-g,HD,8.65,173
"('baye-de-montreux-g', '2020-09-08')",2020-09-08,baye-de-montreux-g,HD,2.2399999999999998,71
"('baye-de-montreux-g', '2020-10-15')",2020-10-15,baye-de-montreux-g,HD,2.64,55
"('boiron', '2016-04-28')",2016-04-28,boiron,HD,3.3000000000000003,402
"('boiron', '2020-11-04')",2020-11-04,boiron,HD,1.76,88
"('cully-plage', '2020-06-25')",2020-06-25,cully-plage,HD,3.89,47
"('cully-plage', '2021-02-04')",2021-02-04,cully-plage,HD,6.14,74
"('grand-clos', '2016-09-21')",2016-09-21,grand-clos,HD,41.47,1159
"('grand-clos', '2017-10-22')",2017-10-22,grand-clos,HD,6.55,183
"('grand-clos', '2020-05-07')",2020-05-07,grand-clos,HD,15.92,510
"('grand-clos', '2020-06-09')",2020-06-09,grand-clos,HD,15.879999999999999,538
"('grand-clos', '2020-07-07')",2020-07-07,grand-clos,HD,52.73,1475
"('grand-clos', '2020-08-06')",2020-08-06,grand-clos,HD,42.31,1099
"('grand-clos', '2020-09-08')",2020-09-08,grand-clos,HD,13.63,616
"('grand-clos', '2020-10-06')",2020-10-06,grand-clos,HD,20.78,581
"('grand-clos', '2020-12-08')",2020-12-08,grand-clos,HD,23.03,716
"('grand-clos', '2021-01-07')",2021-01-07,grand-clos,HD,6.25,433
"('grand-clos', '2021-02-09')",2021-02-09,grand-clos,HD,2.58,156
"('grand-clos', '2021-03-09')",2021-03-09,grand-clos,HD,49.52,890
"('grand-clos', '2021-04-10')",2021-04-10,grand-clos,HD,17.71,551
"('jardin-botanique', '2016-04-24')",2016-04-24,jardin-botanique,HD,15.42,985
"('jardin-botanique', '2016-05-03')",2016-05-03,jardin-botanique,HD,5.76,367
"('jardin-botanique', '2016-05-08')",2016-05-08,jardin-botanique,HD,4.85,307
"('la-morges', '2017-04-09')",2017-04-09,la-morges,HD,5.63,170
"('la-pecherie', '2020-06-23')",2020-06-23,la-pecherie,HD,5.6000000000000005,215
"('la-pecherie', '2020-10-06')",2020-10-06,la-pecherie,HD,7.16,256
"('la-pecherie', '2021-01-22')",2021-01-22,la-pecherie,HD,8.92,160
"('lacleman_gland_kubela', '2017-05-25')",2017-05-25,lacleman_gland_kubela,SLR,13.85,97
"('lacleman_gland_kubela', '2017-06-28')",2017-06-28,lacleman_gland_kubela,SLR,6.83,48
"('lacleman_gland_kubela', '2017-07-25')",2017-07-25,lacleman_gland_kubela,SLR,6.29,44
"('lacleman_gland_kubela', '2017-08-29')",2017-08-29,lacleman_gland_kubela,SLR,4.0,28
"('lacleman_gland_kubela', '2017-09-28')",2017-09-28,lacleman_gland_kubela,SLR,5.84,41
"('lacleman_gland_kubela', '2017-10-26')",2017-10-26,lacleman_gland_kubela,SLR,0.9800000000000001,7
"('lacleman_gland_kubela', '2017-11-28')",2017-11-28,lacleman_gland_kubela,SLR,5.26,37
"('lacleman_gland_kubela', '2017-12-16')",2017-12-16,lacleman_gland_kubela,SLR,2.69,19
"('lacleman_gland_kubela', '2018-01-19')",2018-01-19,lacleman_gland_kubela,SLR,3.41,24
"('lacleman_gland_kubela', '2018-02-19')",2018-02-19,lacleman_gland_kubela,SLR,0.71,5
"('lacleman_gland_kubela', '2018-03-18')",2018-03-18,lacleman_gland_kubela,SLR,31.98,224
"('lacleman_gland_lecoanets', '2017-07-11')",2017-07-11,lacleman_gland_lecoanets,SLR,0.55,49
"('lacleman_gland_lecoanets', '2017-08-07')",2017-08-07,lacleman_gland_lecoanets,SLR,1.27,109
"('lacleman_gland_lecoanets', '2017-09-12')",2017-09-12,lacleman_gland_lecoanets,SLR,0.74,66
"('lacleman_gland_lecoanets', '2017-10-10')",2017-10-10,lacleman_gland_lecoanets,SLR,0.81,69
"('lacleman_gland_lecoanets', '2017-11-17')",2017-11-17,lacleman_gland_lecoanets,SLR,1.0,87
"('lacleman_gland_lecoanets', '2017-12-16')",2017-12-16,lacleman_gland_lecoanets,SLR,0.29,27
"('lacleman_gland_lecoanets', '2018-01-19')",2018-01-19,lacleman_gland_lecoanets,SLR,0.23,21
"('lacleman_gland_lecoanets', '2018-02-19')",2018-02-19,lacleman_gland_lecoanets,SLR,0.1,10
"('lacleman_gland_lecoanets', '2018-03-18')",2018-03-18,lacleman_gland_lecoanets,SLR,3.95,338
"('lacleman_gland_lecoanets', '2020-06-15')",2020-06-15,lacleman_gland_lecoanets,HD,1.43,72
"('lacleman_gland_lecoanets', '2020-10-27')",2020-10-27,lacleman_gland_lecoanets,HD,1.4300000000000002,62
"('lacleman_vidy_santie', '2017-04-30')",2017-04-30,lacleman_vidy_santie,SLR,11.77,317
"('lacleman_vidy_santie', '2017-05-23')",2017-05-23,lacleman_vidy_santie,SLR,18.61,502
"('lacleman_vidy_santie', '2017-06-16')",2017-06-16,lacleman_vidy_santie,SLR,13.75,370
"('lacleman_vidy_santie', '2017-07-21')",2017-07-21,lacleman_vidy_santie,SLR,8.55,231
"('lacleman_vidy_santie', '2017-08-25')",2017-08-25,lacleman_vidy_santie,SLR,10.07,272
"('lacleman_vidy_santie', '2017-09-26')",2017-09-26,lacleman_vidy_santie,SLR,6.25,168
"('lacleman_vidy_santie', '2017-10-24')",2017-10-24,lacleman_vidy_santie,SLR,4.02,108
"('lacleman_vidy_santie', '2017-11-17')",2017-11-17,lacleman_vidy_santie,SLR,2.9,78
"('lacleman_vidy_santie', '2017-12-26')",2017-12-26,lacleman_vidy_santie,SLR,3.35,90
"('lacleman_vidy_santie', '2018-01-23')",2018-01-23,lacleman_vidy_santie,SLR,6.5,175
"('lacleman_vidy_santie', '2018-02-26')",2018-02-26,lacleman_vidy_santie,SLR,7.680000000000001,207
"('lacleman_vidy_santie', '2018-03-26')",2018-03-26,lacleman_vidy_santie,SLR,9.23,249
"('le-pierrier', '2016-01-13')",2016-01-13,le-pierrier,HD,11.36,577
"('le-pierrier', '2016-03-14')",2016-03-14,le-pierrier,HD,26.82,1366
"('le-pierrier', '2016-05-30')",2016-05-30,le-pierrier,HD,14.83,754
"('le-pierrier', '2017-05-25')",2017-05-25,le-pierrier,HD,18.36,1044
"('le-pierrier', '2020-11-17')",2020-11-17,le-pierrier,HD,2.68,150
"('le-port', '2016-04-19')",2016-04-19,le-port,HD,33.55,570
"('maladaire', '2016-03-31')",2016-03-31,maladaire,HD,12.25,733
"('maladaire', '2016-05-31')",2016-05-31,maladaire,HD,11.719999999999999,704
"('maladaire', '2020-05-28')",2020-05-28,maladaire,PC,4.43,236
"('maladaire', '2020-06-28')",2020-06-28,maladaire,PC,15.45,865
"('maladaire', '2020-07-29')",2020-07-29,maladaire,PC,2.23,111
"('maladaire', '2020-08-31')",2020-08-31,maladaire,PC,3.37,184
"('maladaire', '2020-09-30')",2020-09-30,maladaire,PC,2.86,152
"('maladaire', '2020-10-29')",2020-10-29,maladaire,PC,0.92,46
"('maladaire', '2020-11-27')",2020-11-27,maladaire,PC,1.58,81
"('maladaire', '2020-12-29')",2020-12-29,maladaire,PC,2.3200000000000003,127
"('maladaire', '2021-01-29')",2021-01-29,maladaire,PC,2.34,117
"('maladaire', '2021-03-02')",2021-03-02,maladaire,PC,1.99,149
"('maladaire', '2021-03-30')",2021-03-30,maladaire,PC,1.08,93
"('maladaire', '2021-05-01')",2021-05-01,maladaire,PC,1.75,136
"('maladaire', '2021-06-02')",2021-06-02,maladaire,PC,5.55,337
"('oyonne', '2016-04-10')",2016-04-10,oyonne,HD,22.380000000000003,717
"('oyonne', '2017-01-31')",2017-01-31,oyonne,HD,24.61,592
"('oyonne', '2021-01-06')",2021-01-06,oyonne,HD,9.05,197
"('parc-des-pierrettes', '2016-10-13')",2016-10-13,parc-des-pierrettes,SWE,14.39,693
"('parc-des-pierrettes', '2017-10-05')",2017-10-05,parc-des-pierrettes,SWE,6.15,258
"('parc-des-pierrettes', '2019-10-10')",2019-10-10,parc-des-pierrettes,SWE,5.3100000000000005,160
"('parc-des-pierrettes', '2020-10-01')",2020-10-01,parc-des-pierrettes,SWE,10.08,464
"('pierrier-sud', '2016-05-10')",2016-05-10,pierrier-sud,HD,39.56,633
"('plage-de-dorigny', '2017-03-20')",2017-03-20,plage-de-dorigny,HD,9.57,385
"('plage-de-st-sulpice', '2016-10-13')",2016-10-13,plage-de-st-sulpice,SWE,28.13,2028
"('plage-de-st-sulpice', '2017-10-05')",2017-10-05,plage-de-st-sulpice,SWE,8.92,748
"('plage-de-st-sulpice', '2020-10-01')",2020-10-01,plage-de-st-sulpice,SWE,7.8500000000000005,326
"('plage-de-st-sulpice', '2021-10-07')",2021-10-07,plage-de-st-sulpice,SWE,7.6499999999999995,304
"('preverenges', '2018-05-04')",2018-05-04,preverenges,PC,1.16,58
"('preverenges', '2018-07-11')",2018-07-11,preverenges,PC,4.779999999999999,145
"('preverenges', '2020-06-07')",2020-06-07,preverenges,PC,24.25,970
"('preverenges', '2020-07-09')",2020-07-09,preverenges,PC,23.740000000000002,664
"('preverenges', '2020-08-13')",2020-08-13,preverenges,PC,3.46,206
"('preverenges', '2020-09-08')",2020-09-08,preverenges,PC,3.6199999999999997,133
"('preverenges', '2020-10-08')",2020-10-08,preverenges,PC,6.95,299
"('preverenges', '2020-11-12')",2020-11-12,preverenges,PC,2.2199999999999998,111
"('preverenges', '2020-12-10')",2020-12-10,preverenges,PC,3.2800000000000002,164
"('preverenges', '2021-01-07')",2021-01-07,preverenges,PC,2.15,151
"('preverenges', '2021-02-07')",2021-02-07,preverenges,PC,4.42,267
"('preverenges', '2021-03-08')",2021-03-08,preverenges,PC,2.61,132
"('preverenges', '2021-04-08')",2021-04-08,preverenges,PC,1.8900000000000001,142
"('preverenges', '2021-05-12')",2021-05-12,preverenges,PC,4.74,237
"('preverenges-le-sout', '2021-02-04')",2021-02-04,preverenges-le-sout,HD,2.68,268
