yx,loc_date,date,location,team,pcs_m,quantity
y2,"('quai-maria-belgia', '2016-12-20')",2016-12-20,quai-maria-belgia,HD,8.8,325
y2,"('quai-maria-belgia', '2017-01-20')",2017-01-20,quai-maria-belgia,HD,1.0,37
y2,"('quai-maria-belgia', '2017-04-03')",2017-04-03,quai-maria-belgia,HD,6.8500000000000005,253
y2,"('quai-maria-belgia', '2017-06-08')",2017-06-08,quai-maria-belgia,HD,39.55,1463
y2,"('quai-maria-belgia', '2017-07-26')",2017-07-26,quai-maria-belgia,HD,27.33,1010
y2,"('quai-maria-belgia', '2017-09-30')",2017-09-30,quai-maria-belgia,HD,11.21,415
y2,"('quai-maria-belgia', '2017-11-11')",2017-11-11,quai-maria-belgia,HD,12.24,453
y2,"('versoix', '2016-11-17')",2016-11-17,versoix,EINT,9.16,1490
y2,"('veveyse', '2016-11-28')",2016-11-28,veveyse,HD,6.43,303
y2,"('veveyse', '2016-12-05')",2016-12-05,veveyse,HD,6.04,285
y2,"('veveyse', '2017-01-05')",2017-01-05,veveyse,HD,6.82,292
y3,"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,HD,13.600000000000001,954
y3,"('arabie', '2018-05-08')",2018-05-08,arabie,HD,4.9399999999999995,148
y3,"('bain-des-dames', '2018-07-22')",2018-07-22,bain-des-dames,HD,18.97,417
y3,"('lacleman_gland_kubela', '2017-11-28')",2017-11-28,lacleman_gland_kubela,SLR,5.26,37
y3,"('lacleman_gland_kubela', '2017-12-16')",2017-12-16,lacleman_gland_kubela,SLR,2.69,19
y3,"('lacleman_gland_kubela', '2018-01-19')",2018-01-19,lacleman_gland_kubela,SLR,3.41,24
y3,"('lacleman_gland_kubela', '2018-02-19')",2018-02-19,lacleman_gland_kubela,SLR,0.71,5
y3,"('lacleman_gland_kubela', '2018-03-18')",2018-03-18,lacleman_gland_kubela,SLR,31.98,224
y3,"('lacleman_gland_lecoanets', '2017-11-17')",2017-11-17,lacleman_gland_lecoanets,SLR,1.0,87
y3,"('lacleman_gland_lecoanets', '2017-12-16')",2017-12-16,lacleman_gland_lecoanets,SLR,0.29,27
y3,"('lacleman_gland_lecoanets', '2018-01-19')",2018-01-19,lacleman_gland_lecoanets,SLR,0.23,21
y3,"('lacleman_gland_lecoanets', '2018-02-19')",2018-02-19,lacleman_gland_lecoanets,SLR,0.1,10
y3,"('lacleman_gland_lecoanets', '2018-03-18')",2018-03-18,lacleman_gland_lecoanets,SLR,3.95,338
y3,"('lacleman_vidy_santie', '2017-11-17')",2017-11-17,lacleman_vidy_santie,SLR,2.9,78
y3,"('lacleman_vidy_santie', '2017-12-26')",2017-12-26,lacleman_vidy_santie,SLR,3.35,90
y3,"('lacleman_vidy_santie', '2018-01-23')",2018-01-23,lacleman_vidy_santie,SLR,6.5,175
y3,"('lacleman_vidy_santie', '2018-02-26')",2018-02-26,lacleman_vidy_santie,SLR,7.680000000000001,207
y3,"('lacleman_vidy_santie', '2018-03-26')",2018-03-26,lacleman_vidy_santie,SLR,9.23,249
y3,"('preverenges', '2018-05-04')",2018-05-04,preverenges,PC,1.16,58
y3,"('preverenges', '2018-07-11')",2018-07-11,preverenges,PC,4.779999999999999,145
y3,"('quai-maria-belgia', '2018-02-11')",2018-02-11,quai-maria-belgia,HD,2.6900000000000004,99
y3,"('quai-maria-belgia', '2018-03-25')",2018-03-25,quai-maria-belgia,HD,4.53,167
y3,"('saint-sulpice', '2018-11-06')",2018-11-06,saint-sulpice,SWE,8.19,147
y3,"('tiger-duck-beach', '2018-10-16')",2018-10-16,tiger-duck-beach,SWE,77.1,1387
y4,"('parc-des-pierrettes', '2019-10-10')",2019-10-10,parc-des-pierrettes,SWE,5.3100000000000005,160
y4,"('rolle-plage', '2019-10-24')",2019-10-24,rolle-plage,SWE,9.75,146
y5,"('baby-plage-geneva', '2020-05-05')",2020-05-05,baby-plage-geneva,ASL,2.14,224
y5,"('baby-plage-geneva', '2020-06-09')",2020-06-09,baby-plage-geneva,ASL,2.56,256
y5,"('baby-plage-geneva', '2020-07-07')",2020-07-07,baby-plage-geneva,ASL,17.88,1788
y5,"('baby-plage-geneva', '2020-08-18')",2020-08-18,baby-plage-geneva,ASL,2.69,269
y5,"('baby-plage-geneva', '2020-10-20')",2020-10-20,baby-plage-geneva,ASL,2.4,182
y5,"('baby-plage-ii-geneve', '2020-11-01')",2020-11-01,baby-plage-ii-geneve,EINT,1.29,68
y5,"('bain-des-dames', '2020-06-11')",2020-06-11,bain-des-dames,HD,9.69,282
y5,"('baye-de-montreux-g', '2020-05-07')",2020-05-07,baye-de-montreux-g,HD,3.26,105
y5,"('baye-de-montreux-g', '2020-06-02')",2020-06-02,baye-de-montreux-g,HD,4.22,75
y5,"('baye-de-montreux-g', '2020-07-14')",2020-07-14,baye-de-montreux-g,HD,5.8100000000000005,110
y5,"('baye-de-montreux-g', '2020-08-11')",2020-08-11,baye-de-montreux-g,HD,8.65,173
y5,"('baye-de-montreux-g', '2020-09-08')",2020-09-08,baye-de-montreux-g,HD,2.2399999999999998,71
y5,"('baye-de-montreux-g', '2020-10-15')",2020-10-15,baye-de-montreux-g,HD,2.64,55
y5,"('boiron', '2020-11-04')",2020-11-04,boiron,HD,1.76,88
y5,"('cully-plage', '2020-06-25')",2020-06-25,cully-plage,HD,3.89,47
y5,"('grand-clos', '2020-05-07')",2020-05-07,grand-clos,HD,15.92,510
y5,"('grand-clos', '2020-06-09')",2020-06-09,grand-clos,HD,15.879999999999999,538
y5,"('grand-clos', '2020-07-07')",2020-07-07,grand-clos,HD,52.73,1475
y5,"('grand-clos', '2020-08-06')",2020-08-06,grand-clos,HD,42.31,1099
y5,"('grand-clos', '2020-09-08')",2020-09-08,grand-clos,HD,13.63,616
y5,"('grand-clos', '2020-10-06')",2020-10-06,grand-clos,HD,20.78,581
y5,"('la-pecherie', '2020-06-23')",2020-06-23,la-pecherie,HD,5.6000000000000005,215
y5,"('la-pecherie', '2020-10-06')",2020-10-06,la-pecherie,HD,7.16,256
y5,"('lacleman_gland_lecoanets', '2020-06-15')",2020-06-15,lacleman_gland_lecoanets,HD,1.43,72
y5,"('lacleman_gland_lecoanets', '2020-10-27')",2020-10-27,lacleman_gland_lecoanets,HD,1.4300000000000002,62
y5,"('maladaire', '2020-05-28')",2020-05-28,maladaire,PC,4.43,236
y5,"('maladaire', '2020-06-28')",2020-06-28,maladaire,PC,15.45,865
y5,"('maladaire', '2020-07-29')",2020-07-29,maladaire,PC,2.23,111
y5,"('maladaire', '2020-08-31')",2020-08-31,maladaire,PC,3.37,184
y5,"('maladaire', '2020-09-30')",2020-09-30,maladaire,PC,2.86,152
y5,"('maladaire', '2020-10-29')",2020-10-29,maladaire,PC,0.92,46
y5,"('parc-des-pierrettes', '2020-10-01')",2020-10-01,parc-des-pierrettes,SWE,10.08,464
y5,"('plage-de-st-sulpice', '2020-10-01')",2020-10-01,plage-de-st-sulpice,SWE,7.8500000000000005,326
y5,"('preverenges', '2020-06-07')",2020-06-07,preverenges,PC,24.25,970
y5,"('preverenges', '2020-07-09')",2020-07-09,preverenges,PC,23.740000000000002,664
y5,"('preverenges', '2020-08-13')",2020-08-13,preverenges,PC,3.46,206
y5,"('preverenges', '2020-09-08')",2020-09-08,preverenges,PC,3.6199999999999997,133
y5,"('preverenges', '2020-10-08')",2020-10-08,preverenges,PC,6.95,299
y5,"('preverenges', '2020-11-12')",2020-11-12,preverenges,PC,2.2199999999999998,111
y5,"('quai-maria-belgia', '2020-04-28')",2020-04-28,quai-maria-belgia,HD,6.94,305
y5,"('quai-maria-belgia', '2020-05-31')",2020-05-31,quai-maria-belgia,HD,2.47,103
y5,"('quai-maria-belgia', '2020-06-28')",2020-06-28,quai-maria-belgia,HD,6.56,270
y5,"('quai-maria-belgia', '2020-07-21')",2020-07-21,quai-maria-belgia,HD,12.370000000000001,494
y5,"('quai-maria-belgia', '2020-08-30')",2020-08-30,quai-maria-belgia,HD,6.26,258
y5,"('quai-maria-belgia', '2020-09-27')",2020-09-27,quai-maria-belgia,HD,12.94,516
y5,"('quai-maria-belgia', '2020-10-25')",2020-10-25,quai-maria-belgia,HD,5.54,262
y5,"('rocky-plage', '2020-11-01')",2020-11-01,rocky-plage,EINT,0.68,99
y5,"('tiger-duck-beach', '2020-07-14')",2020-07-14,tiger-duck-beach,SWE,10.64,296
y5,"('tiger-duck-beach', '2020-10-01')",2020-10-01,tiger-duck-beach,SWE,15.01,450
y5,"('tolochenaz', '2020-05-19')",2020-05-19,tolochenaz,HD,5.35,186
y5,"('versoix', '2020-05-14')",2020-05-14,versoix,HD,4.46,226
y5,"('versoix', '2020-08-04')",2020-08-04,versoix,HD,2.91,257
y5,"('versoix', '2020-10-13')",2020-10-13,versoix,HD,1.96,100
y5,"('vidy-ruines', '2020-06-02')",2020-06-02,vidy-ruines,PC,10.559999999999999,201
y5,"('vidy-ruines', '2020-06-30')",2020-06-30,vidy-ruines,PC,66.17,397
y5,"('vidy-ruines', '2020-08-01')",2020-08-01,vidy-ruines,PC,18.6,93
y5,"('vidy-ruines', '2020-09-02')",2020-09-02,vidy-ruines,PC,6.6000000000000005,33
y5,"('villa-barton', '2020-10-20')",2020-10-20,villa-barton,HD,6.81,115
y6,"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,HD,5.98,165
y6,"('baby-plage-geneva', '2020-11-18')",2020-11-18,baby-plage-geneva,ASL,0.88,88
y6,"('baby-plage-geneva', '2020-12-16')",2020-12-16,baby-plage-geneva,ASL,1.5,150
y6,"('baby-plage-geneva', '2021-01-16')",2021-01-16,baby-plage-geneva,ASL,1.8900000000000001,97
y6,"('baby-plage-geneva', '2021-02-10')",2021-02-10,baby-plage-geneva,ASL,1.13,113
y6,"('baby-plage-geneva', '2021-03-10')",2021-03-10,baby-plage-geneva,ASL,0.5,50
y6,"('baby-plage-geneva', '2021-04-14')",2021-04-14,baby-plage-geneva,ASL,0.58,58
y6,"('baby-plage-ii-geneve', '2020-12-08')",2020-12-08,baby-plage-ii-geneve,EINT,0.22,20
y6,"('cully-plage', '2021-02-04')",2021-02-04,cully-plage,HD,6.14,74
y6,"('grand-clos', '2020-12-08')",2020-12-08,grand-clos,HD,23.03,716
y6,"('grand-clos', '2021-01-07')",2021-01-07,grand-clos,HD,6.25,433
y6,"('grand-clos', '2021-02-09')",2021-02-09,grand-clos,HD,2.58,156
y6,"('grand-clos', '2021-03-09')",2021-03-09,grand-clos,HD,49.52,890
y6,"('grand-clos', '2021-04-10')",2021-04-10,grand-clos,HD,17.71,551
y6,"('la-pecherie', '2021-01-22')",2021-01-22,la-pecherie,HD,8.92,160
y6,"('le-pierrier', '2020-11-17')",2020-11-17,le-pierrier,HD,2.68,150
y6,"('maladaire', '2020-11-27')",2020-11-27,maladaire,PC,1.58,81
y6,"('maladaire', '2020-12-29')",2020-12-29,maladaire,PC,2.3200000000000003,127
y6,"('maladaire', '2021-01-29')",2021-01-29,maladaire,PC,2.34,117
y6,"('maladaire', '2021-03-02')",2021-03-02,maladaire,PC,1.99,149
y6,"('maladaire', '2021-03-30')",2021-03-30,maladaire,PC,1.08,93
y6,"('maladaire', '2021-05-01')",2021-05-01,maladaire,PC,1.75,136
y6,"('maladaire', '2021-06-02')",2021-06-02,maladaire,PC,5.55,337
y6,"('oyonne', '2021-01-06')",2021-01-06,oyonne,HD,9.05,197
