samples,median,mean,var,locations,pieces,dispersion
82,4.86,8.77,98.63,18,30728,11.24
40,6.84,9.7,66.64,17,14158,6.87
24,4.24,8.97,260.65,10,5113,29.06
2,7.53,7.53,9.86,2,306,1.31
58,5.7,9.69,147.84,20,18645,15.25
44,4.0,7.41,110.46,16,10486,14.9
