ASL,EINT,HD,PC,SLR,SWE,total
0,0,80,0,0,2,82
0,1,20,0,17,2,40
0,0,5,2,15,2,24
0,0,0,0,0,2,2
5,2,31,16,0,4,58
6,1,18,16,0,3,44
