y1,y2,y3,y4,y5,y6
20.5,7.5,6.6,27.5,12.4,12.2
20.0,28.3,11.3,7.5,12.8,8.0
13.0,7.5,21.4,21.2,15.7,17.6
6.2,7.7,9.9,4.9,5.7,6.8
4.9,8.3,7.1,0.7,4.0,4.0
4.1,5.0,3.4,4.6,3.4,5.0
4.0,3.7,3.5,0.0,1.4,3.7
2.0,1.9,1.6,0.3,1.3,1.9
1.7,1.7,3.6,3.9,2.0,2.3
0.0,0.0,0.0,0.0,5.9,3.3
