loc_date,pcs_m
"('lacleman_vidy_santie', '2017-11-17')",2.9
"('lacleman_vidy_santie', '2017-12-26')",3.35
"('lacleman_vidy_santie', '2018-01-23')",6.5
"('lacleman_vidy_santie', '2018-02-26')",7.680000000000001
"('lacleman_vidy_santie', '2018-03-26')",9.23
"('le-pierrier', '2016-01-13')",11.36
"('le-pierrier', '2016-03-14')",26.82
"('le-pierrier', '2016-05-30')",14.83
"('le-pierrier', '2017-05-25')",18.36
"('le-pierrier', '2020-11-17')",2.68
"('le-port', '2016-04-19')",33.55
"('maladaire', '2016-03-31')",12.25
"('maladaire', '2016-05-31')",11.719999999999999
"('maladaire', '2020-05-28')",4.43
"('maladaire', '2020-06-28')",15.45
"('maladaire', '2020-07-29')",2.23
"('maladaire', '2020-08-31')",3.37
"('maladaire', '2020-09-30')",2.86
"('maladaire', '2020-10-29')",0.92
"('maladaire', '2020-11-27')",1.58
"('maladaire', '2020-12-29')",2.3200000000000003
"('maladaire', '2021-01-29')",2.34
"('maladaire', '2021-03-02')",1.99
"('maladaire', '2021-03-30')",1.08
"('maladaire', '2021-05-01')",1.75
"('maladaire', '2021-06-02')",5.55
"('oyonne', '2016-04-10')",22.380000000000003
"('oyonne', '2017-01-31')",24.61
"('oyonne', '2021-01-06')",9.05
"('parc-des-pierrettes', '2016-10-13')",14.39
"('parc-des-pierrettes', '2017-10-05')",6.15
"('parc-des-pierrettes', '2019-10-10')",5.3100000000000005
"('parc-des-pierrettes', '2020-10-01')",10.08
"('pierrier-sud', '2016-05-10')",39.56
"('plage-de-dorigny', '2017-03-20')",9.57
"('plage-de-st-sulpice', '2016-10-13')",28.13
"('plage-de-st-sulpice', '2017-10-05')",8.92
"('plage-de-st-sulpice', '2020-10-01')",7.8500000000000005
"('plage-de-st-sulpice', '2021-10-07')",7.6499999999999995
"('preverenges', '2018-05-04')",1.16
"('preverenges', '2018-07-11')",4.779999999999999
"('preverenges', '2020-06-07')",24.25
"('preverenges', '2020-07-09')",23.740000000000002
"('preverenges', '2020-08-13')",3.46
"('preverenges', '2020-09-08')",3.6199999999999997
"('preverenges', '2020-10-08')",6.95
"('preverenges', '2020-11-12')",2.2199999999999998
"('preverenges', '2020-12-10')",3.2800000000000002
"('preverenges', '2021-01-07')",2.15
"('preverenges', '2021-02-07')",4.42
"('preverenges', '2021-03-08')",2.61
"('preverenges', '2021-04-08')",1.8900000000000001
"('preverenges', '2021-05-12')",4.74
"('preverenges-le-sout', '2021-02-04')",2.68
"('quai-maria-belgia', '2016-11-21')",22.34
"('quai-maria-belgia', '2016-12-20')",8.8
"('quai-maria-belgia', '2017-01-20')",1.0
"('quai-maria-belgia', '2017-04-03')",6.8500000000000005
"('quai-maria-belgia', '2017-06-08')",39.55
"('quai-maria-belgia', '2017-07-26')",27.33
"('quai-maria-belgia', '2017-09-30')",11.21
"('quai-maria-belgia', '2017-11-11')",12.24
"('quai-maria-belgia', '2018-02-11')",2.6900000000000004
"('quai-maria-belgia', '2018-03-25')",4.53
"('quai-maria-belgia', '2020-04-28')",6.94
"('quai-maria-belgia', '2020-05-31')",2.47
"('quai-maria-belgia', '2020-06-28')",6.56
"('quai-maria-belgia', '2020-07-21')",12.370000000000001
"('quai-maria-belgia', '2020-08-30')",6.26
"('quai-maria-belgia', '2020-09-27')",12.94
"('quai-maria-belgia', '2020-10-25')",5.54
"('quai-maria-belgia', '2020-11-30')",4.55
"('quai-maria-belgia', '2020-12-23')",3.5700000000000003
"('quai-maria-belgia', '2021-01-31')",6.89
"('quai-maria-belgia', '2021-02-28')",3.19
"('quai-maria-belgia', '2021-03-29')",5.39
"('rocky-plage', '2020-11-01')",0.68
"('rolle-plage', '2019-10-24')",9.75
"('saint-sulpice', '2018-11-06')",8.19
"('tiger-duck-beach', '2018-10-16')",77.1
"('tiger-duck-beach', '2020-07-14')",10.64
"('tiger-duck-beach', '2020-10-01')",15.01
"('tiger-duck-beach', '2020-11-24')",48.55
"('tiger-duck-beach', '2021-10-07')",16.36
"('tolochenaz', '2020-05-19')",5.35
"('versoix', '2016-11-17')",9.16
"('versoix', '2020-05-14')",4.46
"('versoix', '2020-08-04')",2.91
"('versoix', '2020-10-13')",1.96
"('veveyse', '2015-11-27')",4.12
"('veveyse', '2015-12-01')",0.9900000000000001
"('veveyse', '2015-12-07')",3.66
"('veveyse', '2015-12-14')",2.4699999999999998
"('veveyse', '2016-01-08')",2.8
"('veveyse', '2016-01-15')",2.78
"('veveyse', '2016-01-21')",2.75
"('veveyse', '2016-02-09')",2.4
"('veveyse', '2016-03-11')",4.67
"('veveyse', '2016-04-02')",4.6
"('veveyse', '2016-04-12')",3.28
"('veveyse', '2016-04-19')",4.71
"('veveyse', '2016-06-17')",5.41
"('veveyse', '2016-11-14')",3.4299999999999997
"('veveyse', '2016-11-28')",6.43
"('veveyse', '2016-12-05')",6.04
"('veveyse', '2017-01-05')",6.82
"('vidy', '2016-06-07')",6.859999999999999
"('vidy-ruines', '2020-06-02')",10.559999999999999
"('vidy-ruines', '2020-06-30')",66.17
"('vidy-ruines', '2020-08-01')",18.6
"('vidy-ruines', '2020-09-02')",6.6000000000000005
"('vidy-ruines', '2020-12-01')",17.52
"('vidy-ruines', '2021-03-04')",11.58
"('vidy-ruines', '2021-04-15')",5.23
"('villa-barton', '2016-04-02')",17.12
"('villa-barton', '2016-04-10')",5.63
"('villa-barton', '2016-04-16')",3.97
"('villa-barton', '2016-04-22')",7.7
"('villa-barton', '2016-05-02')",3.6900000000000004
"('villa-barton', '2016-05-08')",4.680000000000001
"('villa-barton', '2016-06-05')",9.28
"('villa-barton', '2016-07-21')",12.57
"('villa-barton', '2016-07-22')",23.11
"('villa-barton', '2020-10-20')",6.81
"('villa-barton', '2021-01-22')",9.66
"('villa-barton', '2021-11-14')",9.07
