y1,y2,y3,y4,y5,y6
19.7,2.7,35.1,8.1,14.2,21.5
17.8,18.1,10.6,0.0,7.6,6.7
14.9,7.6,2.5,43.8,15.5,30.9
11.2,12.2,11.6,0.0,7.2,3.7
9.2,5.8,4.4,0.0,3.6,2.4
7.4,9.5,7.8,2.5,5.9,1.1
2.5,3.5,1.9,5.6,1.8,1.2
1.7,2.4,3.0,8.8,2.2,0.9
1.5,2.6,2.6,5.6,2.8,0.6
0.0,0.0,0.0,0.0,5.1,6.5
