ASL,EINT,HD,PC,SLR,SWE,total
0,0,28007,0,0,2721,30728
0,1490,9136,0,2526,1006,14158
0,0,1785,203,1591,1534,5113
0,0,0,0,0,306,306
2719,167,9522,4701,0,1536,18645
556,20,5735,2409,0,1766,10486
