location,code,groupname,quantity,description,material
plage-de-st-sulpice,G64,unclassified,0,Fenders,Plastic
plage-de-st-sulpice,G65,agriculture,0,Buckets,Plastic
plage-de-st-sulpice,G66,infrastructure,48,"Straps/bands;  hard, plastic package fastener",Plastic
plage-de-st-sulpice,G67,agriculture,65,Industrial sheeting,Plastic
plage-de-st-sulpice,G68,infrastructure,0,Fiberglass fragments,Plastic
plage-de-st-sulpice,G7,food and drink,1,Drink bottles < = 0.5L,Plastic
plage-de-st-sulpice,G70,recreation,16,Shotgun cartridges,Plastic
plage-de-st-sulpice,G702,infrastructure,0,piquet de ballisage,Wood
plage-de-st-sulpice,G703,infrastructure,0,piquet de ballisage,Plastic
plage-de-st-sulpice,G704,infrastructure,0,Brosse de télésiège,Plastic
plage-de-st-sulpice,G705,infrastructure,0,Screws and bolts,Metal
plage-de-st-sulpice,G706,recreation,0,Abonnement de ski,Plastic
plage-de-st-sulpice,G707,recreation,0,étiquette d’équipement de ski,Plastic
plage-de-st-sulpice,G708,recreation,0,Batons de ski,Metal
plage-de-st-sulpice,G709,recreation,0,"Batons de ski parties (rondelles, attaches)",Plastic
plage-de-st-sulpice,G71,personal items,0,Shoes sandals,Plastic
plage-de-st-sulpice,G710,recreation,0,"Ski / Snowboards (ski, fixations et autres pièces)",Plastic
plage-de-st-sulpice,G711,recreation,0,Chaufferette,Plastic
plage-de-st-sulpice,G712,recreation,0,Gants de ski,Cloth
plage-de-st-sulpice,G713,infrastructure,0,Carpet from ski lift,Plastic
plage-de-st-sulpice,G73,recreation,0,Foamed items & pieces (non packaging/insulation) foamed sponge material,Plastic
plage-de-st-sulpice,G74,infrastructure,16,Foam packaging/insulation/polyurethane,Plastic
plage-de-st-sulpice,G8,food and drink,1,Drink bottles  > 0.5L,Plastic
plage-de-st-sulpice,G84,personal items,0,CD or CD box,Plastic
plage-de-st-sulpice,G87,infrastructure,59,"Tape, masking/duct/packing",Plastic
plage-de-st-sulpice,G88,personal items,0,Telephone incl. parts,Plastic
plage-de-st-sulpice,G89,infrastructure,52,Plastic construction waste,Plastic
plage-de-st-sulpice,G9,infrastructure,1,"Cleaner, chemical bottles & containers",Plastic
plage-de-st-sulpice,G90,agriculture,0,Plastic flower pots,Plastic
plage-de-st-sulpice,G900,personal items,0,Gloves latex  personal protective equipment,Rubber
plage-de-st-sulpice,G901,personal items,0,"Mask medical, synthetic",Plastic
plage-de-st-sulpice,G902,personal items,0,"Mask medical, cloth",Cloth
plage-de-st-sulpice,G903,personal items,0,Hand sanitizer containers & packets,Plastic
plage-de-st-sulpice,G904,recreation,3,"Fireworks; rocket caps, exploded parts & packaging",Plastic
plage-de-st-sulpice,G905,personal items,4,"Hair clip,  hair ties, personal accessories plastic",Plastic
plage-de-st-sulpice,G906,food and drink,0,coffee capsules aluminum,Metal
plage-de-st-sulpice,G907,food and drink,0,coffee capsules plastic,Plastic
plage-de-st-sulpice,G908,infrastructure,8,"Tape; electrical, insulating",Plastic
plage-de-st-sulpice,G91,waste water,8,Biomass holder,Plastic
plage-de-st-sulpice,G913,personal items,0,Pacifier,Plastic
plage-de-st-sulpice,G914,personal items,1,"Paperclips, clothespins, plastic utility items",Plastic
plage-de-st-sulpice,G915,personal items,1,"Reflectors, plastic mobility items",Plastic
plage-de-st-sulpice,G916,personal items,0,Pencils and pieces,Wood
plage-de-st-sulpice,G917,unclassified,0,Terracotta balls,Glass
plage-de-st-sulpice,G918,personal items,0,"Safety pins, paper clips, small metal utility items",Metal
plage-de-st-sulpice,G919,infrastructure,0,"Nails, screws, bolts etc.",Metal
plage-de-st-sulpice,G92,recreation,0,Bait containers,Plastic
plage-de-st-sulpice,G921,infrastructure,0,Ceramic tile and pieces,Glass
plage-de-st-sulpice,G922,packaging non food,1,"Labels, bar codes",Plastic
plage-de-st-sulpice,G923,personal items,1,"Tissue, toilet paper, napkins, paper towels",Paper
plage-de-st-sulpice,G925,packaging non food,0,"Packets: desiccant/ moisture absorbers, plastic case filled with silica",Plastic
plage-de-st-sulpice,G926,food and drink,0,"Chewing gum, often contains plastics",Plastic
plage-de-st-sulpice,G927,infrastructure,1,"String trimmer line, used to cut grass, weeds, and shrubbery",Plastic
plage-de-st-sulpice,G928,personal items,2,Ribbons and bows,Plastic
plage-de-st-sulpice,G929,personal items,1,"Electronics and pieces; sensors, headsets etc.",Metal
plage-de-st-sulpice,G93,infrastructure,2,"Cable ties; steggel, zip, zap straps",Plastic
plage-de-st-sulpice,G930,personal items,1,Foam earplugs,Plastic
plage-de-st-sulpice,G931,infrastructure,0,"Tape-caution for barrier, police, construction etc.",Plastic
plage-de-st-sulpice,G932,waste water,0,"Bio-beads, micro plastic for wastewater treatment, irregular shape, ridged sides < 5mm",Plastic
plage-de-st-sulpice,G933,personal items,0,"Bags, cases for accessories; glasses, electronics, incl. straps, pieces, plstc. nylon etc.",Plastic
plage-de-st-sulpice,G934,agriculture,0,"Sandbag, plastic for flood, erosion control etc..",Plastic
plage-de-st-sulpice,G935,personal items,0,"Walking stick pads and pieces, often elastomeric material",Plastic
plage-de-st-sulpice,G936,agriculture,0,Sheeting ag. greenhouse film,Plastic
plage-de-st-sulpice,G937,agriculture,0,Pheromone baits for vineyards,Plastic
plage-de-st-sulpice,G938,food and drink,0,"Toothpicks, dental floss plastic",Plastic
plage-de-st-sulpice,G939,personal items,0,"Flowers, plants plastic",Plastic
plage-de-st-sulpice,G94,recreation,0,Table cloth,Plastic
plage-de-st-sulpice,G940,recreation,0,Foamed EVA (flexible plastic) for crafts & watersports,Plastic
plage-de-st-sulpice,G941,packaging non food,14,Packaging films nonfood or unknown,Plastic
plage-de-st-sulpice,G942,unclassified,0,"Plastic shavings from lathes, CNC machining",Plastic
plage-de-st-sulpice,G943,agriculture,0,"Fencing agriculture, plastic",Plastic
plage-de-st-sulpice,G944,unclassified,0,Pellet mass from injection molding,Plastic
plage-de-st-sulpice,G945,personal items,0,Razor blades,Metal
plage-de-st-sulpice,G95,waste water,252,Cotton bud/swab sticks,Plastic
plage-de-st-sulpice,G96,waste water,16,Sanitary pads /panty liners/tampons and applicators,Plastic
plage-de-st-sulpice,G97,waste water,0,Toilet fresheners,Plastic
plage-de-st-sulpice,G98,waste water,1,Diapers - wipes,Plastic
plage-de-st-sulpice,G99,personal items,15,Syringes - needles,Plastic
plage-de-st-sulpice,G999,unclassified,0,No objects found on this survey,Unidentified
plage-de-st-sulpice,Gfoam,infrastructure,142,Expanded polystyrene,Plastic
plage-de-st-sulpice,Gfrags,plastic pieces,475,Fragmented plastics,Plastic
