OBJECTID,OBJORIG,DATEOFCHNG,GEWISSNR,NAMN,LAUFNR,BREITE,KLASSE,LINST,GWLNR,EXS,HOC,UUID,OBJORIG_YE,OBJVAL,slug,latitude,longitude,city,water_name,water,length
"16607",TLM,2015/09/22,"207",La Thielle,"0","6","6",CH,CH0002070000,Not applicable,Natural,{546697ED-7E95-47B7-B320-616E2D9ED340},"2015",Fluss,signalpain,46.786200000000001,6.647360000000000,Yverdon-les-Bains,Neuenburgersee,l,"1930"
"15241",TLM,2020/07/16,"1423",Sulgenbach,"0","10","10",CH,CH0014230000,Not applicable,Natural,{B1F2660E-1311-43CD-8692-3D0FE0085920},"2020",Fluss_U,bern-tiergarten,46.933157399999999,7.452004100000000,Bern,Aare,r,"489"
"15377",TLM,2015/09/17,"331",Seez,"0","6","6",CH,CH0003310000,Not applicable,Natural,{BF9372B0-4BA8-4550-A453-A64BAC7DADF1},"2015",Fluss,seez_spennwiesenbrucke,47.114947999999998,9.310123000000001,Walenstadt,Seez,r,"2331"
"12039",TLM,2020/04/27,"561",Alt Linth,"0","17","7",CH,CH0005610000,Not applicable,Man-made,{5E4F73BC-5057-4250-B851-F3A2B98F05FD},"2020",Fluss,schmerikon-bahnhof-strand,47.224780000000003,8.944179999999999,Schmerikon,Zürichsee,l,"1038"
"14162",TLM,2020/07/14,"2541",Meerenbach,"0","9","9",CH,CH0025410000,Not applicable,Natural,{296991BD-F16B-4375-9264-F585D4F7D0B9},"2020",Fluss,muhlehorn-dorf,47.118448000000001,9.172124000000000,Glarus Nord,Walensee,l,"1702"
"30362",TLM,2020/07/23,"11070",La Veveyse,"0","8","8",CH,CH0110700000,Not applicable,Natural,{2786D52A-CB48-49C7-A47F-90AC1CA171BE},"2020",Fluss,ognonnaz-1,46.459941299999997,6.859134100000000,Vevey,Ognonnaz,r,"1020"
"16607",TLM,2015/09/22,"207",La Thielle,"0","6","6",CH,CH0002070000,Not applicable,Natural,{546697ED-7E95-47B7-B320-616E2D9ED340},"2015",Fluss,la-petite-plage,46.785054000000002,6.656877000000000,Yverdon-les-Bains,Neuenburgersee,l,"685"
"12249",GN200,2012/01/17,"294",Limmat,"2","6","4",CH,CH0002940002,Not applicable,Natural,{04BD509A-44C5-46C1-A0E9-52F722867C76},"2012",Fluss,aare-limmatspitz,47.501060000000003,8.237371000000000,Gebenstorf,Aare,r,"3283"
"13422",TLM,2018/06/18,"2884",Rotenbach,"0","9","9",CH,CH0028840000,Not applicable,Natural,{BD40780B-3FB7-43F0-8FCD-5747A2AE8745},"2018",Fluss,sihlsee_einsiedeln_schilligerllacherl,47.141393800000003,8.760358800000002,Einsiedeln,Sihlsee,l,"497"
"22764",TLM,2015/09/21,"476",Kanal,"0","20","10",CH,CH0004760000,Not applicable,Man-made,{50B5019E-3329-41F3-BA59-7E4B47EC786C},"2015",Fluss,emme_luterbach_huggenbergerk,47.211944199999998,7.574014400000000,Zuchwil,Emme,r,"2536"
"15501",TLM,2015/09/22,"37",Aare,"0","5","4",CH,CH0000370000,Not applicable,Natural,{71672FF2-DBD5-41A6-8300-277906C9A6F1},"2015",Fluss,oberi-chlihochstetten,46.896025000000002,7.532114000000000,Rubigen,Aare,r,"2794"
"17053",TLM,2020/07/14,"2545",Widenbach,"0","10","10",CH,CH0025450000,Not applicable,Natural,{2B715B45-54D1-4245-BB5B-91851458B332},"2020",Fluss,seez_spennwiesenbrucke,47.114947999999998,9.310123000000001,Walenstadt,Seez,r,"255"
"26450",TLM,2020/07/14,"2822",Scheidbach,"0","10","10",CH,CH0028220000,Not applicable,Natural,{43D71753-C55C-4FA1-AE1F-3DE3A5071553},"2020",Fluss,zuerichsee_maennedorf_vanderkaadene,47.254753999999998,8.687503800000000,Männedorf,Zürichsee,l,"464"
"19533",TLM,2020/07/01,"2310",Hinterer Chrebsbach,"0","10","10",CH,CH0023100000,Not applicable,Natural,{84BBD727-AF5C-44D9-B281-D965E6F6D847},"2020",Fluss,toss_winterthur-2,47.478707300000003,8.708426400000000,Winterthur,Töss,r,"1425"
"15502",TLM,2015/09/21,"37",Aare,"0","5","4",CH,CH0000370000,Not applicable,Natural,{D93144FF-FB47-49E3-9F0C-28C58BC9B0F5},"2015",Fluss,aare_bern_gerberm,46.989363099999998,7.452097700000000,Bern,Aare,r,"3822"
"12788",TLM,2020/07/17,"1427",Giesse,"0","10","10",CH,CH0014270000,Not applicable,Natural,{0A3E3BBF-BFF2-44ED-B271-0301DB7A4BA2},"2020",Fluss,oberi-chlihochstetten,46.896025000000002,7.532114000000000,Rubigen,Aare,r,"5596"
"21441",GN200,2008/11/06,"1973",Aabach,"0","9","9",CH,CH0019730000,Not applicable,Natural,{8AF88AB9-3B43-407B-8896-BC0BD556B608},"2008",Fluss,aare_suhrespitz_badert,47.405669199999998,8.066018000000000,Aarau,Aare,r,"972"
"13615",GN200,2011/01/04,"4782",Zürichsee,"0","10","10",CH,CH0047820000,Not applicable,Natural,{6F26297C-8375-4351-B1E8-C8D1BCFADD72},"2009",Seeachse,zuerichsee_zurich_kullg,47.353957299999998,8.550474299999999,Zürich,Zürichsee,l,"517"
"13784",GN200,2011/01/04,"3737",Kanal Platz,"0","18","8",CH,CH0037370000,Not applicable,Man-made,{6B477210-0FF3-4EF4-9EA0-3023265C7B05},"2008",Fluss,walensee_walenstadt_wysse,47.121828200000003,9.299551700000000,Walenstadt,Walensee,l,"1704"
"12919",TLM,2020/07/14,"2822",Äusserer Dollikerbach,"0","10","10",CH,CH0028220000,Not applicable,Natural,{3D834E05-D684-4794-AA1E-D299463FB914},"2020",Fluss,zuerichsee_maennedorf_vanderkaadene,47.254753999999998,8.687503800000000,Männedorf,Zürichsee,l,"617"
"15478",TLM,2015/09/21,"37",Aare,"0","14","4",CH,CH0000370000,Naviguable and operational,Man-made,{EECD64B5-AD0A-4507-BFE7-015F251569B7},"2015",Fluss,nidau-strand,47.127195999999998,7.232613000000000,Nidau,Bielersee,l,"1451"
"28162",TLM,2016/03/22,"1175",Dorfbach,"0","9","9",CH,CH0011750000,Not applicable,Natural,{8855A0D3-D757-4B0C-9AE1-D60139BBCE65},"2016",Fluss_U,aare_rupperswil_badert,47.410308999999998,8.112553699999999,Rupperswil,Aare,r,"365"
"13941",TLM,2020/01/28,"95",Le Rhône,"0","5","4",CH,CH0000950000,Not applicable,Natural,{A40526AB-B99E-4F0F-926D-5FAB3CF00A7B},"2019",Fluss,leuk-mattenstrasse,46.314754499999999,7.622520500000000,Leuk,Rhône,r,"2899"
"12207",TLM,2016/03/22,"3568",Müligiessen,"0","8","8",CH,CH0035680000,Not applicable,Natural,{BDAF054C-D5E6-41AE-BD88-B8EDC704EB39},"2016",Fluss,limmat_unterengstringen_oggierbuhrer,47.409400300000001,8.446933400000002,Unterengstringen,Limmat,r,"1292"
"12729",GN200,2005/01/01,"100",Canal Stockalper,"0","18","8",CH,CH0001000000,Not applicable,Man-made,{6B894D6E-0D33-409B-BFA3-BF7FCA460E6E},"2008",Fluss,grand-clos,46.387746000000000,6.843686000000000,Saint-Gingolph,Lac Léman,l,"292"
"20188",TLM,2020/07/22,"127",Le Venoge,"0","8","7",CH,CH0001270000,Not applicable,Natural,{35439273-7935-4574-A622-7BF6A0A0AF12},"2020",Fluss,preverenges-le-sout,46.508904899999997,6.534526300000000,Préverenges,Lac Léman,l,"2060"
"13086",LK200,2005/01/01,"4728",Riale Brima,"0","9","9",CH,CH0047280000,Not applicable,Natural,{7E750037-CC22-4006-BDF1-ED66E29AA4F1},"1998",Fluss_U,route-13,46.162520999999998,8.782579100000000,Locarno,Maggia,r,"1497"
"13697",GN200,2010/09/21,"38",Reuss,"0","3","4",CH,CH0000380000,Not applicable,Natural,{DC34F688-37A3-4652-8946-72765A332194},"2010",Fluss,aare-limmatspitz,47.501060000000003,8.237371000000000,Gebenstorf,Aare,r,"544"
"21260",TLM,2020/07/22,"214",La Brine,"0","9","9",CH,CH0002140000,Not applicable,Natural,{2A53B352-5C0E-4842-94AB-6D0631BCE0A6},"2020",Fluss,pecos-plage,46.803590000000000,6.636650000000000,Grandson,Neuenburgersee,l,"1015"
"11962",GN200,2005/01/01,"2540",Rötibach,"999","9","9",CH,CH0025400999,Not applicable,Natural,{982B3DBE-E3ED-4C3B-93DC-1D0EFE454A5A},"2003",Seeachse,muhlehorn-dorf,47.118448000000001,9.172124000000000,Glarus Nord,Walensee,l,"319"
"19405",TLM,2020/07/02,"495",Suhre,"0","5","5",CH,CH0004950000,Not applicable,Natural,{3CCCCB99-66EE-4200-A8DF-8800A355DF13},"2020",Fluss,aare_suhrespitz_badert,47.405669199999998,8.066018000000000,Aarau,Aare,r,"1585"
"16700",LK200,2005/01/01,"3584",Walensee,"0","6","6",CH,CH0035840000,Not applicable,Natural,{778D5DB8-962E-4C52-88C6-82684C379BDD},"1998",Seeachse,seeflechsen,47.130222900000000,9.103399599999999,Glarus Nord,Walensee,l,"18"
"15478",TLM,2015/09/21,"37",Aare,"0","14","4",CH,CH0000370000,Naviguable and operational,Man-made,{EECD64B5-AD0A-4507-BFE7-015F251569B7},"2015",Fluss,mullermatte,47.133338999999999,7.227907000000000,Biel/Bienne,Bielersee,l,"1214"
"12938",TLM,2020/07/22,"3886",Le Flon,"0","10","10",CH,CH0038860000,Not applicable,Natural,{E511AB22-6D15-4BBE-A35A-594F4D7CA833},"2020",Fluss_U,lacleman_vidy_santie,46.518317799999998,6.589607800000000,Lausanne,Lac Léman,l,"1330"
"13039",TLM,2018/11/21,"2455",Linth,"0","5","5",CH,CH0024550000,Not applicable,Natural,{74EA51F1-0450-447C-B1C1-542E041A969E},"2018",Fluss,linthdammweg,47.131790000000002,9.091910000000000,Weesen,Linthkanal,r,"833"
"11850",GN200,2009/05/06,"3899",Baye de Clarens,"999","9","9",CH,CH0038990999,Not applicable,Natural,{17850A12-D1F8-491F-A5BB-0F5FF55A28C5},"2009",Seeachse,maladaire,46.446295999999997,6.876960000000000,La Tour-de-Peilz,Lac Léman,l,"1206"
"26461",TLM,2021/07/28,"5574",Tüfenbach,"0","9","9",CH,CH0055740000,Not applicable,Natural,{2A62A508-84F4-4AFA-A6C2-FFD54BD573A2},"2021",Fluss_U,sitter_stgallen_steinbrunnerf,47.433291699999998,9.358074700000000,St. Gallen,Sitter,r,"1387"
"19001",GN200,2010/09/28,"3884",La Sorge,"0","9","9",CH,CH0038840000,Not applicable,Natural,{743342B2-F280-476E-9485-BF2EFE9D1648},"2010",Fluss,lacleman_vidy_santie,46.518317799999998,6.589607800000000,Lausanne,Lac Léman,l,"573"
"19001",GN200,2010/09/28,"3884",La Sorge,"0","9","9",CH,CH0038840000,Not applicable,Natural,{743342B2-F280-476E-9485-BF2EFE9D1648},"2010",Fluss,plage-de-st-sulpice,46.513264999999997,6.570977000000000,Saint-Sulpice (VD),Lac Léman,l,"1093"
"14325",GN200,2010/09/21,"468",Emme,"0","6","5",CH,CH0004680000,Not applicable,Natural,{F2F4F1F8-FFAE-47F1-A8A3-097F40FC8A76},"2010",Fluss,schutzenmatte,47.057665999999998,7.634001000000000,Burgdorf,Emme,r,"2796"
"12411",TLM,2020/06/09,"5250",N_P,"0","10","10",CH,CH0052500000,Not applicable,Natural,{B3FA0090-53E1-4B5D-8A46-CF4D64C58D2C},"2020",Fluss,inn_pradella_kohlt,46.800876000000002,10.319993999999999,Scuol,Inn,r,"1629"
"19863",LK200,2005/01/01,"2931",Dorfbach,"0","10","10",CH,CH0029310000,Not applicable,Natural,{52A95D33-4F2A-46AF-B376-D925C76D614F},"1998",Fluss_U,birs_reinach_dinuccin,47.503681700000001,7.607008500000000,Reinach (BL),Birs,r,"1136"
"19924",GN200,2010/11/09,"5680",Riale Rabissale,"0","10","10",CH,CH0056800000,Not applicable,Natural,{DEA0B43A-13B2-4467-99EB-ADBE2B30A5C5},"2010",Fluss,rivapiana,46.172078999999997,8.813255000000000,Minusio,Lago Maggiore,l,"1463"
"13396",TLM,2020/07/14,"2544",Acherbach,"0","10","10",CH,CH0025440000,Not applicable,Natural,{1BE96FC0-BF11-41B1-974C-E3E40880C3EC},"2020",Fluss,seez,47.119830000000000,9.300250999999999,Walenstadt,Seez,r,"311"
"18745",TLM,2020/06/08,"5251",Clozza,"0","9","9",CH,CH0052510000,Not applicable,Natural,{422C30D5-4ACD-4E23-9C58-3BD4B991E1D1},"2020",Fluss,inn_pradella_kohlt,46.800876000000002,10.319993999999999,Scuol,Inn,r,"507"
"15515",GN200,2010/08/10,"37",Aare,"0","3","4",CH,CH0000370000,Not applicable,Natural,{82B0317B-F488-4FD9-A78B-255D99F6F155},"2010",Fluss,aare_suhrespitz_badert,47.405669199999998,8.066018000000000,Aarau,Aare,r,"4595"
"20882",TLM,2020/05/07,"1059",Wissenbach,"0","9","9",CH,CH0010590000,Not applicable,Natural,{C49D6F66-E1FF-4EDE-B36E-84F15A1B3626},"2020",Fluss,reuss_ottenbach_schoenenbergerl,47.278354499999999,8.394224200000000,Merenschwand,Reuss,r,"1368"
"21039",TLM,2016/02/19,"400",Chronbach,"0","8","8",CH,CH0004000000,Not applicable,Natural,{E35EB357-C744-4DCC-B82D-BE4FB17A4F6A},"2016",Fluss,urnaesch_urnaesch_meierr,47.325098599999997,9.295418800000000,Hundwil,Urnäsch,r,"1613"
"21513",LK200,2008/10/01,"199",La Veveyse,"999","8","8",CH,CH0001990999,Not applicable,Natural,{1E835158-30BA-4E0F-8527-3B1BE00AF707},"2008",Seeachse,veveyse,46.461022000000000,6.834983000000000,Vevey,Lac Léman,l,"1762"
"19057",TLM,2022/05/02,"11062",N_P,"0","20","10",CH,CH0110620000,Not applicable,Man-made,{5F6E985A-DD82-40C9-903D-48E40FEC7B4D},"2022",Fluss,seeflechsen,47.130222900000000,9.103399599999999,Glarus Nord,Walensee,l,"952"
"13286",LK200,2005/01/01,"2116",Josrütibach,"0","10","10",CH,CH0021160000,Not applicable,Natural,{AA6F27A5-8736-4D89-ABFB-EEED94B8F781},"1998",Fluss,sitter_stgallen_steinbrunnerf,47.433291699999998,9.358074700000000,St. Gallen,Sitter,r,"1134"
"17264",TLM,2020/07/02,"1058",Landbach,"0","10","10",CH,CH0010580000,Not applicable,Natural,{5D88CACA-979E-4CCA-9AD7-57F36F4CADA8},"2020",Fluss,reuss_hunenberg_eberhardy,47.232975500000002,8.401012100000004,Hünenberg,Reuss,r,"848"
"26461",TLM,2021/07/28,"5574",Tüfenbach,"0","9","9",CH,CH0055740000,Not applicable,Natural,{2A62A508-84F4-4AFA-A6C2-FFD54BD573A2},"2021",Fluss_U,sitter_gaiserwald_buehlerf,47.425160900000002,9.340103700000000,St. Gallen,Sitter,r,"1387"
"19001",GN200,2010/09/28,"3884",La Sorge,"0","9","9",CH,CH0038840000,Not applicable,Natural,{743342B2-F280-476E-9485-BF2EFE9D1648},"2010",Fluss,parc-des-pierrettes,46.515214999999998,6.575531000000000,Saint-Sulpice (VD),Lac Léman,l,"1302"
"14078",TLM,2015/09/17,"2532",Helgenbach,"0","10","10",CH,CH0025320000,Not applicable,Natural,{ACC0BCCD-9B3F-429E-B13A-652C2F3267EE},"2015",Fluss,seez,47.119830000000000,9.300250999999999,Walenstadt,Seez,r,"558"
"12141",TLM,2020/07/16,"1410",Mülibach,"0","10","10",CH,CH0014100000,Not applicable,Natural,{EA8BACF0-705B-4E5E-8AB1-01D7EC820B6B},"2020",Fluss,gals-reserve,47.046271900000001,7.085007500000000,Gals,Bielersee,l,"798"
"20842",TLM,2020/04/27,"2420",Linthkanal,"0","5","5",CH,CH0024200000,Not applicable,Natural,{714BC72A-A128-46D8-9690-424DC4F1CF0B},"2020",Fluss,schmerikon-bahnhof-strand,47.224780000000003,8.944179999999999,Schmerikon,Zürichsee,l,"1226"
"15264",GN200,2011/01/04,"251",Canal Oriental,"999","8","8",CH,CH0002510999,Not applicable,Natural,{6F1DCE9C-CC58-4FE7-A5E1-7B238B116987},"2003",Seeachse,signalpain,46.786200000000001,6.647360000000000,Yverdon-les-Bains,Neuenburgersee,l,"1553"
"14206",TLM,2018/03/27,"624",Töss,"0","6","5",CH,CH0006240000,Not applicable,Natural,{1F4169A6-01F7-4194-B2B3-EEEA84203894},"2018",Fluss,toss_kollbrunn_burgid,47.454569800000002,8.779680000000004,Zell (ZH),Töss,r,"3324"
"17492",GN200,2011/10/17,"1",Rhein,"0","1","4",CH,CH0000010000,Naviguable and operational,Natural,{EA5FEA7A-BB8E-42BF-87A2-CEC7ECB3DF0E},"2011",Fluss,birskopfli-rusco,47.557742900000001,7.617291600000000,Birsfelden,Birs,r,"4130"
"15500",GN200,2010/09/17,"37",Aare,"0","5","4",CH,CH0000370000,Not applicable,Natural,{2C18CF15-56C6-4E6E-A12E-5F38959B9654},"2010",Fluss,aare_elfenau_cataldiv,46.931020099999998,7.462960500000000,Bern,Aare,r,"3411"
"11848",GN200,2005/09/15,"571",Jona,"999","7","7",CH,CH0005710999,Not applicable,Natural,{4F1B60ED-21EE-4C03-AB0F-E9D5206F7FF2},"2004",Seeachse,rastplatz-stampf,47.215176999999997,8.844286000000000,Rapperswil-Jona,Zürichsee,l,"1675"
"20487",LK200,2005/01/01,"2052",Sangentobelbach,"0","10","10",CH,CH0020520000,Not applicable,Natural,{67930611-597A-4385-A21A-BF3223667FE7},"1998",Fluss,unterdsee_ermatingen_brunkem,47.672633300000001,9.081246200000001,Ermatingen,Untersee,l,"412"
"15478",TLM,2015/09/21,"37",Aare,"0","14","4",CH,CH0000370000,Naviguable and operational,Man-made,{EECD64B5-AD0A-4507-BFE7-015F251569B7},"2015",Fluss,strandboden-biel,47.132510000000003,7.233142000000000,Biel/Bienne,Bielersee,l,"1214"
"19610",GN200,2010/09/28,"160",La Mèbre,"0","8","8",CH,CH0001600000,Not applicable,Natural,{1B8BEE5A-5160-4309-A317-7E4FDAE33469},"2010",Fluss,vidy-ruines,46.516221000000002,6.596279000000000,Lausanne,Lac Léman,l,"963"
"11934",GN200,2011/01/05,"5492",Schanzengraben,"0","20","10",CH,CH0054920000,Not applicable,Man-made,{468A8729-37EB-4166-B900-EA314E63984B},"2009",Fluss,zurichsee-feldeggstr-banningersand,47.359392200000002,8.547368199999999,Zürich,Zürichsee,l,"576"
"12064",LK200,2005/01/01,"3036",Ruisseau de la Molliette,"999","9","9",CH,CH0030360999,Not applicable,Natural,{8E1349DF-F4CC-44C6-875B-D9E00056D34C},"2001",Seeachse,impromptu_cudrefin,46.964495999999997,7.027936000000000,Cudrefin,Neuenburgersee,l,"1009"
"19638",LK200,2005/01/01,"64",Cassarate,"999","7","7",CH,CH0000640999,Not applicable,Natural,{59418BDA-DCE1-4EA9-8826-3A576353AAD2},"2001",Seeachse,lido,46.002004499999998,8.962155800000000,Lugano,Lago di Lugano,l,"1324"
"14322",TLM,2020/07/16,"468",Emme,"0","6","5",CH,CH0004680000,Not applicable,Natural,{78701A74-3B4A-466D-806C-54AD1B9B0A72},"2020",Fluss,emme_biberist_jennim,47.169220799999998,7.558994800000000,Biberist,Emme,r,"2792"
"18756",GN200,2010/11/09,"4727",Ramogna,"0","10","10",CH,CH0047270000,Not applicable,Natural,{5913E949-2516-480C-AEA0-E834D4947237},"2010",Fluss,rivapiana,46.172078999999997,8.813255000000000,Minusio,Lago Maggiore,l,"657"
"13058",GN200,2005/09/15,"2455",Linth,"0","5","5",CH,CH0024550000,Not applicable,Natural,{85CD682C-1860-4D5B-8FBD-30E77688F44E},"2004",Fluss,seeflechsen,47.130222900000000,9.103399599999999,Glarus Nord,Walensee,l,"2237"
"14078",TLM,2015/09/17,"2532",Helgenbach,"0","10","10",CH,CH0025320000,Not applicable,Natural,{ACC0BCCD-9B3F-429E-B13A-652C2F3267EE},"2015",Fluss,seemuhlestrasse-strand,47.128639999999997,9.295100000000000,Walenstadt,Walensee,l,"1391"
"20838",GN200,2008/12/04,"2420",Linthkanal,"0","15","5",CH,CH0024200000,Not applicable,Man-made,{A38D863B-7639-4B33-BF10-2AB41EC2D20B},"2008",Fluss,linth_mollis,47.131369999999997,9.094768000000000,Glarus Nord,Linthkanal,r,"1876"
"18624",TLM,2020/07/14,"2403",Feienbächli,"0","9","9",CH,CH0024030000,Not applicable,Natural,{8FBB1641-7543-4BF4-8316-C6906D3CBD1B},"2020",Fluss,jona_tann_nusslin,47.268427199999998,8.864125100000004,Dürnten,Jona,r,"676"
"16388",TLM,2020/04/27,"13566",Steinenbach,"0","17","7",CH,CH0135660000,Not applicable,Man-made,{5CAF6273-0D80-4D0C-ADD0-4CAD13C636CB},"2020",Fluss,schmerikon-bahnhof-strand,47.224780000000003,8.944179999999999,Schmerikon,Zürichsee,l,"1262"
"11961",GN200,2006/07/13,"3587",Hohfuren,"0","9","9",CH,CH0035870000,Not applicable,Natural,{DCB88B68-1C00-4FDF-AE37-6D046DA0FC59},"2005",Fluss,greifensee_uster_fischerb_-2,47.347436000000002,8.689880499999999,Uster,Greifensee,l,"52"
"12229",GN200,2011/01/18,"11124",La Drize,"0","10","8",CH,CH0111240000,Not applicable,Natural,{E4CA6B57-6A2F-459E-BF13-54310312108E},"2007",Fluss_U,pont-sous-terre,46.202959800000002,6.131576720000000,Genève,Rhône,r,"938"
"13784",GN200,2011/01/04,"3737",Kanal Platz,"0","18","8",CH,CH0037370000,Not applicable,Man-made,{6B477210-0FF3-4EF4-9EA0-3023265C7B05},"2008",Fluss,mols-rocks,47.114343200000000,9.288173700000000,Quarten,Walensee,l,"394"
"13604",TLM,2021/08/04,"1285",N_P,"0","9","7",CH,CH0012850000,Not applicable,Natural,{6F7AEBEF-0C5B-4A86-9C30-5BD218D5860A},"2021",Fluss,schutzenmatte,47.057665999999998,7.634001000000000,Burgdorf,Emme,r,"2417"
"13615",GN200,2011/01/04,"4782",Zürichsee,"0","10","10",CH,CH0047820000,Not applicable,Natural,{6F26297C-8375-4351-B1E8-C8D1BCFADD72},"2009",Seeachse,zurichsee-feldeggstr-banningersand,47.359392200000002,8.547368199999999,Zürich,Zürichsee,l,"528"
"20568",TLM,2020/06/16,"11122",Torrente Dragonato,"0","9","9",CH,CH0111220000,Not applicable,Natural,{5C5EFFFC-300B-41AF-8315-8B3A7FCE2C44},"2020",Fluss,via-mirasole-spiaggia,46.199530000000003,9.014930000000000,Bellinzona,Ticino,r,"1020"
"15459",GN200,2010/09/21,"37",Aare,"0","2","4",CH,CH0000370000,Not applicable,Natural,{6A5D35C1-8E4D-4A3F-8F93-3D4DA46F9A88},"2010",Fluss,aare-limmatspitz,47.501060000000003,8.237371000000000,Gebenstorf,Aare,r,"4479"
"13681",TLM,2020/05/08,"38",Reuss,"0","4","4",CH,CH0000380000,Not applicable,Natural,{2C4D7BAC-1CEB-44A6-990F-B5B0ADF747E4},"2020",Fluss,reuss_hunenberg_eberhardy,47.232975500000002,8.401012100000004,Hünenberg,Reuss,r,"2987"
"15567",GN200,2005/10/21,"37",Aare,"0","4","4",CH,CH0000370000,Not applicable,Natural,{466A1956-89DA-4DE3-B07E-0BCE13ACD3DB},"2004",Seeachse,mannewil,46.996381999999997,7.239024000000000,Kallnach,Aare,r,"3000"
"16524",TLM,2015/09/14,"294",Limmat,"0","4","4",CH,CH0002940000,Not applicable,Natural,{29F48450-56B5-4986-9B45-99035354EE35},"2015",Fluss,limmat_zuerich_suterdglauserp,47.394539299999998,8.513443499999999,Zürich,Limmat,r,"3464"
"15637",GN200,2005/01/01,"475",Fulbach,"999","9","9",CH,CH0004750999,Not applicable,Natural,{37DEF5B1-5238-4F55-95B8-91649C5195AB},"2003",Seeachse,wycheley,46.740369999999999,8.048640000000002,Brienz (BE),Brienzersee,l,"1603"
"15232",TLM,2020/01/28,"2180",Wisenbach,"0","9","9",CH,CH0021800000,Not applicable,Natural,{20483365-0668-4146-AD6C-E6786C7500CF},"2019",Fluss,sitter_gaiserwald_buehlerf,47.425160900000002,9.340103700000000,St. Gallen,Sitter,r,"1571"
"19731",TLM,2020/07/14,"2185",Riserenbach,"0","10","10",CH,CH0021850000,Not applicable,Natural,{1D386C4B-9CF0-4B57-AD08-EA4B7310040F},"2020",Fluss,urnaesch_urnaesch_meierr,47.325098599999997,9.295418800000000,Hundwil,Urnäsch,r,"1230"
"20838",GN200,2008/12/04,"2420",Linthkanal,"0","15","5",CH,CH0024200000,Not applicable,Man-made,{A38D863B-7639-4B33-BF10-2AB41EC2D20B},"2008",Fluss,seeflechsen,47.130222900000000,9.103399599999999,Glarus Nord,Walensee,l,"1146"
"16141",TLM,2020/07/24,"133",Dala,"0","8","8",CH,CH0001330000,Not applicable,Natural,{5B0C19CD-E62B-44B8-8D8F-30EA34D02CAE},"2020",Fluss,leuk-mattenstrasse,46.314754499999999,7.622520500000000,Leuk,Rhône,r,"1699"
"11887",TLM,2020/07/22,"92",L'Arve,"0","3","4",CH,CH0000920000,Not applicable,Natural,{36C1EE32-2908-4482-B1D4-E791D0E66754},"2020",Fluss,arve_carouge_battistellak,46.178491200000003,6.154318700000000,Veyrier,Arve,r,"4282"
"13588",TLM,2020/05/05,"507",Wigger,"0","6","6",CH,CH0005070000,Not applicable,Natural,{F2018B2A-E60A-4A11-A837-AF8406E20C75},"2020",Fluss,pfaffner_rothrist_ischik,47.298567800000001,7.899466400000000,Rothrist,Pfaffnern,r,"633"
"19290",LK200,2005/01/01,"1468",Seegartenbach,"999","9","9",CH,CH0014680999,Not applicable,Natural,{EF7871EC-8FEC-4983-8C3D-1B8E2B6F5241},"1998",Seeachse,thun-strandbad,46.739939000000000,7.633520000000000,Thun,Thunersee,l,"10"
"12475",TLM,2016/02/19,"285",Thur,"0","6","4",CH,CH0002850000,Not applicable,Natural,{BE346AA8-66D3-4FDE-9829-6A6ABB7F8236},"2016",Fluss,thur_schwarzenbach_meiliw,47.446786600000003,9.063815600000000,Wil (SG),Thur,r,"3177"
"21129",TLM,2020/07/16,"227",La Sarine,"0","4","4",CH,CH0002270000,Not applicable,Natural,{95E8BAD4-24F9-4F5E-97C7-80AFA1D3319B},"2020",Fluss,gummligrabbe,46.989289999999997,7.250730000000000,Kallnach,Aare,r,"736"
"21513",LK200,2008/10/01,"199",La Veveyse,"999","8","8",CH,CH0001990999,Not applicable,Natural,{1E835158-30BA-4E0F-8527-3B1BE00AF707},"2008",Seeachse,quai-maria-belgia,46.460155999999998,6.836718000000000,Vevey,Lac Léman,l,"1762"
"19638",LK200,2005/01/01,"64",Cassarate,"999","7","7",CH,CH0000640999,Not applicable,Natural,{59418BDA-DCE1-4EA9-8826-3A576353AAD2},"2001",Seeachse,spiaggia-parco-ciani,46.002510000000001,8.960820000000000,Lugano,Lago di Lugano,l,"1375"
"18851",TLM,2016/02/18,"296",Sitter,"0","6","5",CH,CH0002960000,Not applicable,Natural,{7384BBC3-1B48-48AA-B55B-C12192FE0BE2},"2016",Fluss,sitter_stgallen_steinbrunnerf,47.433291699999998,9.358074700000000,St. Gallen,Sitter,r,"3263"
"13936",TLM,2015/10/13,"95",Le Rhône,"0","3","4",CH,CH0000950000,Not applicable,Natural,{0D923185-9027-4D5D-A670-C030908C4F12},"2015",Fluss,les-glariers,46.176735999999998,7.228925000000000,Riddes,Rhône,r,"2791"
"15377",TLM,2015/09/17,"331",Seez,"0","6","6",CH,CH0003310000,Not applicable,Natural,{BF9372B0-4BA8-4550-A453-A64BAC7DADF1},"2015",Fluss,walensee_walenstadt_wysse,47.121828200000003,9.299551700000000,Walenstadt,Walensee,l,"1576"
"13058",GN200,2005/09/15,"2455",Linth,"0","5","5",CH,CH0024550000,Not applicable,Natural,{85CD682C-1860-4D5B-8FBD-30E77688F44E},"2004",Fluss,linth_route9brucke,47.125729999999997,9.117340000000000,Glarus Nord,Escherkanal,r,"1762"
