OBJECTID,OBJORIG,DATEOFCHNG,GEWISSNR,NAMN,LAUFNR,BREITE,KLASSE,LINST,GWLNR,EXS,HOC,UUID,OBJORIG_YE,OBJVAL,slug,latitude,longitude,city,water_name,water,length
"15377",TLM,2015/09/17,"331",Seez,"0","6","6",CH,CH0003310000,Not applicable,Natural,{BF9372B0-4BA8-4550-A453-A64BAC7DADF1},"2015",Fluss,mols-rocks,47.114343200000000,9.288173700000000,Quarten,Walensee,l,"677"
"20838",GN200,2008/12/04,"2420",Linthkanal,"0","15","5",CH,CH0024200000,Not applicable,Man-made,{A38D863B-7639-4B33-BF10-2AB41EC2D20B},"2008",Fluss,linthdammweg,47.131790000000002,9.091910000000000,Weesen,Linthkanal,r,"1934"
"15502",TLM,2015/09/21,"37",Aare,"0","5","4",CH,CH0000370000,Not applicable,Natural,{D93144FF-FB47-49E3-9F0C-28C58BC9B0F5},"2015",Fluss,bern-fahrstrasse,46.975866000000003,7.444210000000000,Bern,Aare,r,"9244"
"23269",TLM,2020/08/03,"4124",La Raspille,"0","8","8",CH,CH0041240000,Not applicable,Natural,{20C0FC59-D36A-4136-94D2-0F0E04E5A0AB},"2020",Fluss,tschilljus,46.304398999999997,7.580262000000000,Salgesch,Rhône,r,"36"
"13688",LK200,2005/01/01,"38",Reuss,"0","4","4",CH,CH0000380000,Not applicable,Natural,{AFC5DB34-C503-42B5-90DA-AF6E6AF69D1C},"1998",Fluss,reuss_stkarli_linigersimhofy,47.057111800000001,8.287914499999999,Luzern,Reuss,r,"2851"
"13604",TLM,2021/08/04,"1285",N_P,"0","9","7",CH,CH0012850000,Not applicable,Natural,{6F7AEBEF-0C5B-4A86-9C30-5BD218D5860A},"2021",Fluss,emme_utzenstorf_gruttert,47.123696000000002,7.539627000000000,Utzenstorf,Emme,r,"3918"
"13124",LK200,2005/01/01,"2050",Fruthwilenbach,"0","10","10",CH,CH0020500000,Not applicable,Natural,{892FD984-AEDA-424F-98C8-1633120F6118},"1998",Fluss,unterdsee_ermatingen_brunkem,47.672633300000001,9.081246200000001,Ermatingen,Untersee,l,"1247"
"14314",TLM,2015/09/21,"468",Emme,"0","6","5",CH,CH0004680000,Not applicable,Natural,{62B2A50A-ED5C-4175-8937-0B3FE578E7DE},"2015",Fluss,emme_luterbach_huggenbergerk,47.211944199999998,7.574014400000000,Zuchwil,Emme,r,"2245"
"19496",TLM,2020/07/02,"1963",Reusskanal,"0","19","8",CH,CH0019630000,Not applicable,Man-made,{A4214E61-D433-4EF4-99B2-3E3470432B0E},"2020",Fluss,reuss_ottenbach_schoenenbergerl,47.278354499999999,8.394224200000000,Merenschwand,Reuss,r,"2810"
"15202",TLM,2015/09/15,"577",Sihl,"0","6","6",CH,CH0005770000,Not applicable,Natural,{087DE7C5-A4B5-4591-B0F7-1E80FB90537A},"2015",Fluss,sihl_leimbach_kruegerm,47.325436099999997,8.519119500000000,Zürich,Sihl,r,"3255"
"11943",GN200,2010/10/14,"622",Murg,"0","8","6",CH,CH0006220000,Not applicable,Natural,{F4D704AA-D24D-4BEC-B6A4-E796B180AA2D},"2010",Fluss,murg_waengi_strickerr,47.493609999999997,8.961592800000000,Wängi,Murg,r,"2999"
"21293",TLM,2020/07/22,"3871",La Promenthouse,"0","8","7",CH,CH0038710000,Not applicable,Natural,{2FB44688-5D98-446B-B905-80BABE788EC0},"2020",Fluss,lacleman_gland_lecoanets,46.402810600000002,6.281958600000000,Gland,Lac Léman,l,"2271"
"20374",GN200,2005/01/01,"332",Entsumpfungskanal,"0","17","8",CH,CH0003320000,Not applicable,Man-made,{B656458A-A56F-42AB-A421-6EC72286F28E},"2008",Fluss,seez_spennwiesenbrucke,47.114947999999998,9.310123000000001,Walenstadt,Seez,r,"994"
"22671",TLM,2015/09/21,"274",La Suze,"0","7","7",CH,CH0002740000,Not applicable,Natural,{B0530D32-CF63-44DB-A978-837B18C292A4},"2015",Fluss,mullermatte,47.133338999999999,7.227907000000000,Biel/Bienne,Bielersee,l,"1099"
"13784",GN200,2011/01/04,"3737",Kanal Platz,"0","18","8",CH,CH0037370000,Not applicable,Man-made,{6B477210-0FF3-4EF4-9EA0-3023265C7B05},"2008",Fluss,seez_spennwiesenbrucke,47.114947999999998,9.310123000000001,Walenstadt,Seez,r,"1847"
"18149",GN200,2010/10/18,"2291",Chriesbach,"0","9","9",CH,CH0022910000,Not applicable,Natural,{9ECDD6A7-FBF7-4B45-8A80-AED3B1A4D2CA},"2010",Fluss,chriesbach_duebendorf_schneidera,47.402919500000003,8.605145800000004,Dübendorf,Chriesbach,r,"1497"
"12200",TLM,2020/07/02,"1064",Lindenbach,"0","9","9",CH,CH0010640000,Not applicable,Natural,{218FD64D-CA69-4CA4-91BD-15E11D8A2084},"2020",Fluss,reuss_ottenbach_schoenenbergerl,47.278354499999999,8.394224200000000,Merenschwand,Reuss,r,"597"
"15788",LK200,2005/01/01,"163",La Morges,"999","9","9",CH,CH0001630999,Not applicable,Natural,{D5E1FC51-7F16-493B-A4EC-2D432756C2F6},"1998",Seeachse,la-morges,46.504063000000002,6.494099000000000,Morges,Lac Léman,l,"1742"
