slug,NAMN,dist
lugano-centro,Cassarate,867.000000000000000
seez,Kanal Platz,160.000000000000000
sundbach-strand,Chrutbach,1446.000000000000000
kusnachter-dorfbach-tobelweg-1-4,Dorfbach,843.000000000000000
la-pecherie,L'Eau Noire,480.000000000000000
nouvelle-plage,Ruisseau de Crêt Moron,1281.000000000000000
pointe-dareuse,Le Vivier,633.000000000000000
schmerikon-bahnhof-strand,Aabach,425.000000000000000
wycheley,Lammbach,1200.000000000000000
grand-clos,Le Rhône,1373.000000000000000
wycheley,Kanal Aarboden,86.000000000000000
seez_spennwiesenbrucke,Seez,1026.000000000000000
veveyse,La Veveyse,25.000000000000000
gasi-strand,Linthkanal,1032.000000000000000
thun-strandbad,Aare,847.000000000000000
signalpain,Canal Oriental,96.000000000000000
wycheley,Glyssibach,1374.000000000000000
saint-sulpice,Le Venoge,445.000000000000000
rivapiana,Riale Ramnosa,590.000000000000000
nidau-strand,La Suze,577.000000000000000
seeflechsen,Walensee,451.000000000000000
zurichsee_kusnachterhorn_thirkell-whitej,Dorfbach,31.000000000000000
pointe-dareuse,L'Areuse,53.000000000000000
arabie,La Veveyse,145.000000000000000
aabach,Alt Linth,489.000000000000000
magadino-lido,Isolone,1195.000000000000000
la-pecherie,L'Aubonne,629.000000000000000
unterdsee_ermatingen_brunkem,Anderbach,16.000000000000000
magadino-lido,Lago Maggiore,1108.000000000000000
linth_route9brucke,Linth,210.000000000000000
oben-am-see,Fulbach,471.000000000000000
zurichsee_wollishofen_langendorfm,Wildbach,1491.000000000000000
parc-des-pierrettes,La Mèbre,874.000000000000000
bodensee_steinach_dolder_a,Steinach,931.000000000000000
camp-des-peches,La Thielle,291.000000000000000
baby-plage-ii-geneve,Le Rhône,1248.000000000000000
aabach,Steinenbach,234.000000000000000
linth_mollis,Walensee,349.000000000000000
weissenau-neuhaus,Schifffahrtskanal,1410.000000000000000
rastplatz-stampf,Wagnerbach,1454.000000000000000
pacha-mama-gerra,N_P,1473.000000000000000
grand-clos,Canal Stockalper,1114.000000000000000
vidy,La Mèbre,960.000000000000000
walensee_walenstadt_wysse,Helgenbach,936.000000000000000
la-petite-plage,Le Buron,449.000000000000000
strandbeiz,Wagnerbach,1497.000000000000000
greifensee_fallanden_meistery,Glatt,1322.000000000000000
vira-gambarogno,N_P,95.000000000000000
walensee_walenstadt_wysse,Kanal Platz,98.000000000000000
sempachersee_sempach_tampec,Gross Aa,465.000000000000000
signalpain,La Brine,1428.000000000000000
wycheley,Fulbach,844.000000000000000
sihl_zuerich_scherfs,Zürichsee,1065.000000000000000
tiger-duck-beach,La Mèbre,333.000000000000000
zuerichsee_zurich_kullg,Zürichsee,1480.000000000000000
le-port,L'Ognona,513.000000000000000
thun-strandbad,Seegartenbach,1022.000000000000000
tolochenaz,La Morges,1039.000000000000000
veveyse,L'Ognona,1399.000000000000000
isole-di-brissago-porto,N_P,1445.000000000000000
aabach,Zürichsee,290.000000000000000
pecos-plage,Le Bey,931.000000000000000
muhlehorn-dorf,Meerenbach,106.000000000000000
sihl_zuerich_scherfs,Limmat,1130.000000000000000
ascona-traghetto-spiaggia,Riale Brima,308.000000000000000
greifensee_uster_fischerb_-2,Dorfbach,1158.000000000000000
oben-am-see,Aare,293.000000000000000
seeflechsen,Linthkanal,451.000000000000000
baby-plage-geneva,Le Rhône,1132.000000000000000
evole-plage,Le Seyon,240.000000000000000
zuerichsee_richterswil_benkoem_2,Reidbach,1199.000000000000000
walensee_walenstadt_wysse,Walensee,218.000000000000000
seez_spennwiesenbrucke,Walensee,1026.000000000000000
zuerichsee_waedenswil_colomboc_1,Reidbach,688.000000000000000
walensee_walenstadt_wysse,Tscherlerbach,473.000000000000000
plage-de-st-sulpice,La Mèbre,1273.000000000000000
aabach,Linthkanal,290.000000000000000
san-nazzaro-gambarogno,N_P,122.000000000000000
linthdammweg,Linthkanal,538.000000000000000
schmerikon-bahnhof-strand,Steinenbach,671.000000000000000
oben-am-see,Kanal Aarboden,481.000000000000000
la-morges,La Morges,97.000000000000000
seez,Tscherlerbach,668.000000000000000
linthdammweg,Flybach,1065.000000000000000
grand-clos,Le Tové,633.000000000000000
nidau-strand,La Thielle,396.000000000000000
zuerichsee_zurich_kullg,Wehrenbach,259.000000000000000
rolle-plage,Le Flon de Tartegnin,586.000000000000000
zurichsee_wollishofen_langendorfm,Wehrenbach,1491.000000000000000
sempachersee_sempach_tampec,Chli Aa,115.000000000000000
oyonne,L'Ognona,60.000000000000000
camp-des-peches,Ruisseau de Vaux,1289.000000000000000
greifensee_maur_simmenc,Dorfbach,1058.000000000000000
seeflechsen,Flybach,463.000000000000000
spiaggia-parco-ciani,Cassarate,95.000000000000000
berlingen-swisslitterreport,Wildbach,429.000000000000000
erlach-camping-strand,Ruisseau de Vaux,1484.000000000000000
