OBJECTID,UUID,DATUM_AEND,OBJEKTART,KANTONSNUM,KANTONSFLA,NAME,ICC,EINWOHNERZ,location,water_name,slug,key,water
"102",{8D2E46F4-5920-45A0-832F-6031DBCCEA37},2012/01/16,Kanton,CH11000000,789.190000000000055,Solothurn,CH,"277462",,,,,
"103",{55E95778-5148-4166-B80C-D4E518AF8571},2009/03/25,Kanton,CH24000000,802.340000000000032,Neuchâtel,CH,"175894",,,,,
"104",{235A4813-5803-42A7-9F46-BB1E46B03B83},2009/03/25,Kanton,CH13000000,517.320000000000050,Basel-Landschaft,CH,"290969",,,,,
"105",{94D62C6A-DCD0-473B-8910-9C29127B7D5B},2009/03/25,Kanton,CH13000000,517.320000000000050,Basel-Landschaft,CH,"290969",,,,,
"106",{77ECEE6B-DB86-4A07-8AEA-22DE59B46F5D},2009/03/25,Kanton,CH14000000,298.189999999999998,Schaffhausen,CH,"83107",,,,,
"107",{3E257573-10E0-4D33-B97F-51F68C6C92D6},2009/03/25,Kanton,CH14000000,298.189999999999998,Schaffhausen,CH,"83107",,,,,
"108",{6647407A-126E-4943-8BE0-CEC075C42C99},2009/03/25,Kanton,CH14000000,298.189999999999998,Schaffhausen,CH,"83107",,,,,
"111",{61EE05EA-8D10-4019-96EB-D0EF1EEEC741},2014/02/07,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",,,,,
"112",{63F845AF-517F-4B33-BAC3-823A10D33250},2009/03/25,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",,,,,
"113",{0C76C9FF-1105-452C-B94F-2125CFD73180},2009/03/25,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",,,,,
"114",{E62FC5F9-247B-40D6-B218-73FAFA77BE9A},2009/03/25,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",,,,,
"115",{37A1263C-A0D8-446C-83E3-78A8D76D4718},2009/03/25,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",,,,,
"116",{120D6732-2A5F-4DB5-A1C1-217AED199A49},2009/03/25,Kanton,CH03000000,1493.539999999999964,Luzern,CH,"416347",,,,,
"118",{85BC7305-C119-45CB-9473-56ABF920576F},2009/03/25,Kanton,CH20000000,995.000000000000000,Thurgau,CH,"282909",,,,,
"119",{AEFA8193-FB24-439B-8BAF-3D6B796506D1},2017/12/18,Kanton,CH20000000,995.000000000000000,Thurgau,CH,"282909",,,,,
"121",{5B677A86-7B2E-41B8-802B-4819E2975C10},2013/01/14,Kanton,CH26000000,838.700000000000045,Jura,CH,"73709",,,,,
"123",{3393CC08-D148-4CA6-92F1-A583C684AA5A},2009/03/25,Kanton,CH18000000,7107.250000000000000,Graubünden,CH,"200096",,,,,
"124",{EBFC35F6-F42D-4B7E-A866-4342891471BF},2009/03/25,Kanton,CH15000000,243.020000000000010,Appenzell Ausserrhoden,CH,"55309",,,,,
"125",{6D6A4692-C6F8-4F14-BB37-1765329E0876},2009/03/25,Kanton,CH16000000,172.310000000000002,Appenzell Innerrhoden,CH,"16293",,,,,
"126",{787FD9D7-AB32-4FD2-9007-2776BD6EE0DC},2009/03/25,Kanton,CH16000000,172.310000000000002,Appenzell Innerrhoden,CH,"16293",,,,,
"127",{C626C75F-2BCE-47F1-B7C8-A73EA914E4FC},2009/03/25,Kanton,CH16000000,172.310000000000002,Appenzell Innerrhoden,CH,"16293",,,,,
"128",{D30F3920-7B60-4227-B39B-DC0901E390B9},2009/03/25,Kanton,CH12000000,36.930000000000000,Basel-Stadt,CH,"196735",,,,,
"129",{28139638-70EB-4384-8771-C76CAC62D352},2009/03/25,Kanton,CH02000000,5959.470000000000255,Bern,CH,"1043081",,,,,
"130",{1043D83A-7041-4068-A28F-A171CE136CD4},2009/03/25,Kanton,CH02000000,5959.470000000000255,Bern,CH,"1043081",,,,,
"131",{03C8E2C5-55C1-4B52-A64B-81E5E210DBB8},2009/03/25,Kanton,CH02000000,5959.470000000000255,Bern,CH,"1043081",,,,,
"132",{79104BAB-1FFA-46F9-99C9-CE644C9EC0B5},2009/03/25,Kanton,CH01000000,1728.480000000000018,Zürich,CH,"1553423",,,,,
