OBJECTID,UUID,DATUM_AEND,OBJEKTART,KANTONSNUM,KANTONSFLA,NAME,ICC,EINWOHNERZ,slug,water_name,water
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",linthdammweg,Linthkanal,r
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",mols-rocks,Walensee,l
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",murg-bad,Walensee,l
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",rastplatz-stampf,Zürichsee,l
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",schmerikon-bahnhof-strand,Zürichsee,l
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",seemuhlestrasse-strand,Walensee,l
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",seez,Seez,r
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",seez_spennwiesenbrucke,Seez,r
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",sitter_gaiserwald_buehlerf,Sitter,r
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",sitter_stgallen_jennya,Sitter,r
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",sitter_stgallen_steinbrunnerf,Sitter,r
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",strandbeiz,Zürichsee,l
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",thur_schwarzenbach_meiliw,Thur,r
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",untertenzen,Walensee,l
