description,quantity
Expanded polystyrene,333.0
Fragmented plastics,195.0
Cigarette filters,169.0
"Food wrappers; candy, snacks",86.0
Cotton bud/swab sticks,80.0
"Glass drink bottles, pieces",80.0
Medical; containers/tubes/ packaging,66.0
Plastic construction waste,49.0
Other plastic or foam products,39.0
Foam packaging/insulation/polyurethane,34.0
