loc_date,yx,pcs/m
"('veveyse', '2016-01-21')",Year 1,2.75
"('veveyse', '2016-02-09')",Year 1,2.4
"('veveyse', '2016-03-11')",Year 1,4.67
"('veveyse', '2016-04-02')",Year 1,4.6
"('veveyse', '2016-04-12')",Year 1,3.28
"('veveyse', '2016-04-19')",Year 1,4.71
"('veveyse', '2016-06-17')",Year 1,5.41
"('veveyse', '2016-11-14')",Year 1,3.4299999999999997
"('vidy', '2016-06-07')",Year 1,6.859999999999999
"('vidy-ruines', '2020-12-01')",Year 6,17.52
"('vidy-ruines', '2021-03-04')",Year 6,11.58
"('vidy-ruines', '2021-04-15')",Year 6,5.23
"('villa-barton', '2016-04-02')",Year 1,17.119999999999997
"('villa-barton', '2016-04-10')",Year 1,5.63
"('villa-barton', '2016-04-16')",Year 1,3.97
"('villa-barton', '2016-04-22')",Year 1,7.7
"('villa-barton', '2016-05-02')",Year 1,3.6900000000000004
"('villa-barton', '2016-05-08')",Year 1,4.68
"('villa-barton', '2016-06-05')",Year 1,9.28
"('villa-barton', '2016-07-21')",Year 1,12.57
"('villa-barton', '2016-07-22')",Year 1,23.11
"('villa-barton', '2021-01-22')",Year 6,9.66
"('villa-barton', '2021-11-14')",Year 6,9.07
