yx,loc_date,date,slug,team,pcs/m,quantity
Year 1,"('veveyse', '2015-12-07')",2015-12-07,veveyse,HD,3.66,193.0
Year 1,"('veveyse', '2015-12-14')",2015-12-14,veveyse,HD,2.47,129.0
Year 1,"('veveyse', '2016-01-08')",2016-01-08,veveyse,HD,2.8000000000000003,147.0
Year 1,"('veveyse', '2016-01-15')",2016-01-15,veveyse,HD,2.78,145.0
Year 1,"('veveyse', '2016-01-21')",2016-01-21,veveyse,HD,2.75,144.0
Year 1,"('veveyse', '2016-02-09')",2016-02-09,veveyse,HD,2.4,126.0
Year 1,"('veveyse', '2016-03-11')",2016-03-11,veveyse,HD,4.67,245.0
Year 1,"('veveyse', '2016-04-02')",2016-04-02,veveyse,HD,4.6,243.0
Year 1,"('veveyse', '2016-04-12')",2016-04-12,veveyse,HD,3.28,172.0
Year 1,"('veveyse', '2016-04-19')",2016-04-19,veveyse,HD,4.71,248.0
Year 1,"('veveyse', '2016-06-17')",2016-06-17,veveyse,HD,5.41,285.0
Year 1,"('veveyse', '2016-11-14')",2016-11-14,veveyse,HD,3.4299999999999997,211.0
Year 1,"('vidy', '2016-06-07')",2016-06-07,vidy,HD,6.859999999999999,55.0
Year 1,"('villa-barton', '2016-04-02')",2016-04-02,villa-barton,HD,17.119999999999997,240.0
Year 1,"('villa-barton', '2016-04-10')",2016-04-10,villa-barton,HD,5.63,79.0
Year 1,"('villa-barton', '2016-04-16')",2016-04-16,villa-barton,HD,3.97,56.0
Year 1,"('villa-barton', '2016-04-22')",2016-04-22,villa-barton,HD,7.7,108.0
Year 1,"('villa-barton', '2016-05-02')",2016-05-02,villa-barton,HD,3.6900000000000004,52.0
Year 1,"('villa-barton', '2016-05-08')",2016-05-08,villa-barton,HD,4.68,66.0
Year 1,"('villa-barton', '2016-06-05')",2016-06-05,villa-barton,HD,9.28,130.0
Year 1,"('villa-barton', '2016-07-21')",2016-07-21,villa-barton,HD,12.57,176.0
Year 1,"('villa-barton', '2016-07-22')",2016-07-22,villa-barton,HD,23.11,324.0
Year 2,"('arabie', '2017-02-16')",2017-02-16,arabie,HD,3.81,115.0
Year 2,"('arve_carouge_battistellak', '2017-04-17')",2017-04-17,arve_carouge_battistellak,HD,2.93,161.0
Year 2,"('arve_carouge_battistellak', '2017-05-25')",2017-05-25,arve_carouge_battistellak,HD,1.6900000000000002,94.0
Year 2,"('arve_carouge_battistellak', '2017-06-27')",2017-06-27,arve_carouge_battistellak,HD,4.22,234.0
Year 2,"('arve_carouge_battistellak', '2017-07-31')",2017-07-31,arve_carouge_battistellak,HD,2.2600000000000002,126.0
Year 2,"('arve_carouge_battistellak', '2017-08-28')",2017-08-28,arve_carouge_battistellak,HD,1.6800000000000002,94.0
Year 2,"('arve_carouge_battistellak', '2017-09-30')",2017-09-30,arve_carouge_battistellak,HD,3.05,168.0
Year 2,"('arve_carouge_battistellak', '2017-10-31')",2017-10-31,arve_carouge_battistellak,HD,0.74,40.0
Year 2,"('bain-des-dames', '2017-05-19')",2017-05-19,bain-des-dames,HD,17.54,526.0
Year 2,"('baye-de-montreux-d', '2016-12-16')",2016-12-16,baye-de-montreux-d,HD,2.5700000000000003,75.0
Year 2,"('baye-de-montreux-g', '2016-12-16')",2016-12-16,baye-de-montreux-g,HD,12.37,384.0
Year 2,"('grand-clos', '2017-10-22')",2017-10-22,grand-clos,HD,6.55,183.0
Year 2,"('la-morges', '2017-04-09')",2017-04-09,la-morges,HD,5.63,170.0
Year 2,"('lacleman_gland_kubela', '2017-05-25')",2017-05-25,lacleman_gland_kubela,SLR,13.85,97.0
