G112,G200,G27,G30,G67,G89,G95,Gcaps,Gfoam,Gfrags
0.0,4.0,20.0,6.2,4.1,1.7,4.9,4.6,20.5,13.0
0.0,3.5,26.7,7.4,4.7,1.6,7.7,4.5,9.5,8.2
0.0,3.3,10.5,9.3,3.2,3.5,6.6,4.3,9.8,21.0
0.0,0.0,7.5,4.9,4.6,3.9,0.7,0.7,27.5,21.2
5.8,1.4,12.8,5.7,3.5,2.0,4.0,3.4,12.4,15.6
3.0,3.0,8.0,6.9,5.6,2.5,3.7,4.2,13.0,13.3
