description,quantity
"Glass drink bottles, pieces",737.0
Fragmented plastics,475.0
Cigarette filters,341.0
"Food wrappers; candy, snacks",279.0
Cotton bud/swab sticks,252.0
Expanded polystyrene,142.0
Plastic bottle lids,82.0
Industrial sheeting,65.0
"Tape, masking/duct/packing",59.0
Medical; containers/tubes/ packaging,57.0
