ASL,EINT,HD,PC,SLR,SWE,Total
0,0,80,0,0,2,82
0,1,28,0,17,2,48
0,0,6,2,15,2,25
0,0,0,0,0,2,2
5,2,33,16,0,4,60
6,1,24,16,0,3,50
