slug,use,magnitude,hex minus,scaled,binned
crans-pk,Siedl,1174259,3199614.0,0.3670002068999573,8
cully-pk,Obstanlage,14655,3631730.0,0.004035266938896889,1
cully-pk,Reben,1912096,3631730.0,0.5264972891707258,11
cully-pk,See,2213942,3631730.0,0.6096108466213072,13
cully-pk,Siedl,811390,3631730.0,0.2234169390345648,5
cully-pk,Wald,199355,3631730.0,0.054892571859692214,2
gland-pk,Obstanlage,92784,3377174.0,0.02747385832059586,1
gland-pk,Reben,134446,3377174.0,0.039810208179975326,1
gland-pk,See,2468498,3377174.0,0.7309359837544646,15
gland-pk,Siedl,1463391,3377174.0,0.43331821220937977,9
gland-pk,Wald,506892,3377174.0,0.1500935397465455,4
grangettes-pk,See,3360623,2485049.0,1.35233671448732,
grangettes-pk,Sumpf,1105565,2485049.0,0.4448865998215729,9
grangettes-pk,Wald,926758,2485049.0,0.3729334914522812,8
hermance-pk,Reben,80919,3851435.0,0.0210100910439875,1
hermance-pk,See,1994237,3851435.0,0.5177906416699231,11
hermance-pk,Siedl,560868,3851435.0,0.14562572132205268,3
lutry-pk,Reben,1198283,3187666.0,0.37591234464338485,8
lutry-pk,See,2658006,3187666.0,0.8338408101727094,17
lutry-pk,Siedl,1944331,3187666.0,0.6099544306084765,13
pichette-pk,Reben,1058408,3333112.0,0.31754348488739653,7
pichette-pk,See,2512560,3333112.0,0.7538180535187536,16
pichette-pk,Siedl,1186875,3333112.0,0.3560861441199696,8
pichette-pk,Wald,175170,3333112.0,0.05255448961811064,2
port-choiseul-pk,Obstanlage,7565,3011904.0,0.002511700240113895,1
port-choiseul-pk,See,2833768,3011904.0,0.9408560166592295,19
port-choiseul-pk,Siedl,2525380,3011904.0,0.8384662990586685,17
port-choiseul-pk,Wald,110813,3011904.0,0.03679167729117528,1
preverenges-pk,Obstanlage,218352,3021302.0,0.07227082893401586,2
preverenges-pk,Reben,77888,3021302.0,0.025779614219300157,1
preverenges-pk,See,2824370,3021302.0,0.9348188297627976,19
preverenges-pk,Siedl,2334781,3021302.0,0.7727731289358032,16
preverenges-pk,Wald,168955,3021302.0,0.0559212551409955,2
rolle-pk,Reben,975730,3255752.0,0.2996942027525438,6
rolle-pk,See,2589920,3255752.0,0.7954905656204773,16
rolle-pk,Siedl,2070999,3255752.0,0.6361046541628478,13
savoniere-pk,Reben,196472,2244920.0,0.08751848618213566,2
savoniere-pk,See,3600752,2244920.0,1.6039555975268607,
