slug,magnitude,hex minus,use,scaled,binned
tolochenaz-p,858861,2162736,undefined,0.39711781743125374,8.0
tolochenaz-p,18069,0,Strasse,0.04557295345512491,1.0
tolochenaz-p,0,0,Stadtzentr,0.0,0.0
tolochenaz-p,0,0,length,0.0,0.0
bouveret,1178,0,dist,0.7872645674316094,16.0
bouveret,87692,3392184,infrastructure,0.02585119203439436,1.0
bouveret,133908,3392184,recreation,0.03947545298250331,1.0
bouveret,1650333,3392184,Siedl,0.48651046051747193,10.0
bouveret,1104800,3392184,Wald,0.3256898800300927,7.0
bouveret,254821,3392184,undefined,0.07512004065817185,2.0
bouveret,31941,0,Strasse,0.12395956353937695,3.0
bouveret,0,0,Stadtzentr,0.0,0.0
bouveret,0,0,Reben,0.0,0.0
bouveret,0,0,Obstanlage,0.0,0.0
bouveret,0,0,length,0.0,0.0
aabach,89,0,dist,0.05945223780895124,2.0
aabach,999929,3978059,Siedl,0.25136102807927185,6.0
aabach,1265264,3978059,Wald,0.3180606421372835,7.0
aabach,1177090,3978059,undefined,0.2958955611266701,6.0
aabach,29652,3978059,infrastructure,0.007453886430543137,1.0
aabach,53782,3978059,recreation,0.01351965870792766,1.0
aabach,57728,0,Strasse,0.2696743497448706,6.0
aabach,4911,0,length,0.40977569467693337,9.0
aabach,0,0,Stadtzentr,0.0,0.0
aabach,0,0,Reben,0.0,0.0
aabach,0,0,Obstanlage,0.0,0.0
anarchy-beach,1167,0,dist,0.779559118236473,16.0
anarchy-beach,2088269,2088717,Siedl,0.9997855142654558,20.0
anarchy-beach,448,2088717,undefined,0.0002144857345442202,1.0
anarchy-beach,111450,2088717,infrastructure,0.053358114095878,2.0
anarchy-beach,49842,2088717,recreation,0.023862495493645143,1.0
anarchy-beach,46547,0,Strasse,0.20649379269815618,5.0
anarchy-beach,565,0,length,0.0460328088382993,1.0
anarchy-beach,0,0,Wald,0.0,0.0
anarchy-beach,0,0,Stadtzentr,0.0,0.0
anarchy-beach,0,0,Reben,0.0,0.0
anarchy-beach,0,0,Obstanlage,0.0,0.0
arabie,1450,0,dist,0.9686038744154977,20.0
arabie,102778,2838114,Reben,0.036213485434341254,1.0
arabie,2723425,2838114,Siedl,0.959589713450552,20.0
arabie,11911,2838114,undefined,0.004196801115106722,1.0
arabie,145719,2838114,infrastructure,0.0513436035338961,2.0
arabie,39227,2838114,recreation,0.013821502589395634,1.0
arabie,74012,0,Strasse,0.36169046556176504,8.0
arabie,1762,0,length,0.1462169400736525,3.0
arabie,0,0,Wald,0.0,0.0
arabie,0,0,Stadtzentr,0.0,0.0
arabie,0,0,Obstanlage,0.0,0.0
ascona-traghetto-spiaggia,308,0,dist,0.20574482297929192,5.0
ascona-traghetto-spiaggia,2942537,3839917,Siedl,0.7663022403869667,16.0
ascona-traghetto-spiaggia,655454,3839917,Wald,0.17069483533107616,4.0
ascona-traghetto-spiaggia,167764,3839917,undefined,0.04368948599670253,1.0
ascona-traghetto-spiaggia,124474,3839917,infrastructure,0.03241580482078128,1.0
ascona-traghetto-spiaggia,210189,3839917,recreation,0.054737901886941824,2.0
ascona-traghetto-spiaggia,73603,0,Strasse,0.35937932632268926,8.0
ascona-traghetto-spiaggia,2754,0,length,0.2292433880147305,5.0
ascona-traghetto-spiaggia,0,0,Stadtzentr,0.0,0.0
ascona-traghetto-spiaggia,0,0,Reben,0.0,0.0
ascona-traghetto-spiaggia,0,0,Obstanlage,0.0,0.0
baby-plage-geneva,1132,0,dist,0.7561790247160989,16.0
baby-plage-geneva,3323503,3703182,Siedl,0.8974722279380274,18.0
baby-plage-geneva,315921,3703182,Stadtzentr,0.08531068686335157,2.0
baby-plage-geneva,63758,3703182,undefined,0.017217085198621078,1.0
baby-plage-geneva,663635,3703182,infrastructure,0.1792066930547837,4.0
baby-plage-geneva,189642,3703182,recreation,0.051210553518568624,2.0
baby-plage-geneva,118133,0,Strasse,0.611005317315462,13.0
baby-plage-geneva,673,0,length,0.05507197857381989,2.0
baby-plage-geneva,0,0,Wald,0.0,0.0
baby-plage-geneva,0,0,Reben,0.0,0.0
baby-plage-geneva,0,0,Obstanlage,0.0,0.0
baby-plage-ii-geneve,1248,0,dist,0.8336673346693386,17.0
baby-plage-ii-geneve,3357832,3590093,Siedl,0.9353050185608005,19.0
baby-plage-ii-geneve,186644,3590093,Stadtzentr,0.05198862536430115,2.0
baby-plage-ii-geneve,45617,3590093,undefined,0.012706356074898338,1.0
baby-plage-ii-geneve,644980,3590093,infrastructure,0.17965551310230682,4.0
baby-plage-ii-geneve,189642,3590093,recreation,0.05282370122445296,2.0
baby-plage-ii-geneve,111232,0,Strasse,0.5720097870248462,12.0
baby-plage-ii-geneve,673,0,length,0.05507197857381989,2.0
baby-plage-ii-geneve,0,0,Wald,0.0,0.0
baby-plage-ii-geneve,0,0,Reben,0.0,0.0
baby-plage-ii-geneve,0,0,Obstanlage,0.0,0.0
bain-des-dames,798,0,dist,0.533066132264529,11.0
bain-des-dames,2758946,2759389,Siedl,0.9998394572131729,20.0
bain-des-dames,443,2759389,undefined,0.00016054278682708383,1.0
bain-des-dames,124514,2759389,infrastructure,0.045123757469497774,1.0
bain-des-dames,46803,2759389,recreation,0.016961363548234774,1.0
