slug,city,water_name,use,water,magnitude,hex minus,scaled
pfaffner_rothrist_ischik,Rothrist,Pfaffnern,undefined,r,2348989,5845672,0.40183386957051304
pfafikon-bad,Freienbach,Zürichsee,undefined,l,651613,3146435,0.2070956495208069
pierrier-sud,Montreux,Lac Léman,undefined,l,45763,2804912,0.016315306861676943
plage-de-cheyres,Cheyres-Châbles,Neuenburgersee,undefined,l,797932,3018932,0.26430936503372715
plage-de-dorigny,Saint-Sulpice (VD),Lac Léman,undefined,l,180119,3655575,0.04927241268473496
plage-de-serriere,Neuchâtel,Neuenburgersee,undefined,l,3,3561008,8.424580905181904e-07
plage-de-st-sulpice,Saint-Sulpice (VD),Lac Léman,undefined,l,7921,2978071,0.002659775404951729
pointe-dareuse,Boudry,Neuenburgersee,undefined,l,1391192,2153529,0.6460056957672732
pont-sous-terre,Genève,Rhône,undefined,r,315806,5845672,0.05402390007513251
preverenges,Préverenges,Lac Léman,undefined,l,339550,3228468,0.105173723264409
preverenges-le-sout,Préverenges,Lac Léman,undefined,l,47292,2602545,0.01817144372143421
quai-maria-belgia,Vevey,Lac Léman,undefined,l,425,2517958,0.00016878756516192883
rastplatz-stampf,Rapperswil-Jona,Zürichsee,undefined,l,461595,1889950,0.24423662001640256
reuss,Bremgarten (AG),Reuss,undefined,r,3050072,5845672,0.5217658465955668
reuss_hunenberg_eberhardy,Hünenberg,Reuss,undefined,r,3904150,5845672,0.6678701781420511
reuss_ottenbach_schoenenbergerl,Merenschwand,Reuss,undefined,r,3812207,5845672,0.6521417896864552
reuss_stkarli_linigersimhofy,Luzern,Reuss,undefined,r,1459986,5845672,0.24975503244109487
rhein-beach-tinguely,Basel,Rhein,undefined,r,326943,5845672,0.055929070259159254
rhein_basel,Basel,Rhein,undefined,r,60421,5845672,0.010336022958523844
rhein_basel_hungerbuehlern,Basel,Rhein,undefined,r,248333,5845672,0.0424815145290396
rhein_domatems_foppa_f,Domat/Ems,Rhein,undefined,r,1997618,5845672,0.3417259812045561
rhein_eglisau_gomringerp,Eglisau,Rhein,undefined,r,2986097,5845672,0.5108218524747882
rhein_hemishofen_stolll,Hemishofen,Rhein,undefined,r,4309631,5845672,0.7372344873266923
rivapiana,Minusio,Lago Maggiore,undefined,l,1055,3211205,0.0003285371067870161
rocky-plage,Genève,Lac Léman,undefined,l,33382,3420758,0.009758655830082105
rolle-plage,Rolle,Lac Léman,undefined,l,223561,3318818,0.06736163296691774
route-13,Locarno,Maggia,undefined,r,793636,5845672,0.1357647161866078
ruisseau-de-la-croix-plage,Cheyres-Châbles,Neuenburgersee,undefined,l,892519,2895241,0.3082710558464736
saint-sulpice,Saint-Sulpice (VD),Lac Léman,undefined,l,8877,2793622,0.0031775952508965063
san-nazzaro-gambarogno,Gambarogno,Lago Maggiore,undefined,l,23287,3145437,0.007403422799439315
schmerikon-bahnhof-strand,Schmerikon,Zürichsee,undefined,l,2058785,4613791,0.4462241570977099
schusspark-strand,Biel/Bienne,Schüss,undefined,r,118185,5845672,0.020217521612570805
schutzenmatte,Burgdorf,Emme,undefined,r,1575501,5845672,0.2695158058816848
seeflechsen,Glarus Nord,Walensee,undefined,l,2105527,4495685,0.46834397872626754
seemuhlestrasse-strand,Walenstadt,Walensee,undefined,l,1035556,3770497,0.2746470823342387
seez,Walenstadt,Seez,undefined,r,3418339,5845672,0.5847640784498344
seez_spennwiesenbrucke,Walenstadt,Seez,undefined,r,3286659,5845672,0.5622380113013525
sempachersee_sempach_tampec,Sempach,Sempachsee,undefined,l,2443838,3745845,0.6524130069450285
sense_torishaus_g-cubes,Köniz,Sense,undefined,r,3633939,5845672,0.6216460656704652
sentiero-giro-del-golf-spiaggia,Ascona,Lago Maggiore,undefined,l,962414,2226325,0.43228818793302864
signalpain,Yverdon-les-Bains,Neuenburgersee,undefined,l,218441,3664382,0.059611961853322064
sihl_adliswil_oggi_fort,Adliswil,Sihl,undefined,r,901143,5845672,0.15415558724471712
sihl_leimbach_kruegerm,Zürich,Sihl,undefined,r,1200913,5845672,0.2054362612202669
sihl_menzingen_kucharska_magdalena,Menzingen,Sihl,undefined,r,4530217,5845672,0.7749694132684831
sihl_zuerich_eggerskoehlingera,Zürich,Sihl,undefined,r,338,5845672,5.782055510469968e-05
sihl_zuerich_eichenbergerd,Zürich,Sihl,undefined,r,1481226,5845672,0.2533884898092127
sihl_zuerich_scherfs,Zürich,Sihl,undefined,r,199496,5845672,0.03412712858333482
sihl_zurich_himmelhebern,Zürich,Sihl,undefined,r,1549988,5845672,0.2651513803716664
sitter_gaiserwald_buehlerf,St. Gallen,Sitter,undefined,r,2056451,5845672,0.3517903501941265
sitter_stgallen_jennya,St. Gallen,Sitter,undefined,r,2209336,5845672,0.3779438873751384
sitter_stgallen_steinbrunnerf,St. Gallen,Sitter,undefined,r,1253396,5845672,0.2144143564674857
sorne_birse_wwfjura,Delémont,Birs,undefined,r,2375109,5845672,0.4063021325862963
spackmatt,Luterbach,Aare,undefined,r,2077942,5845672,0.35546674531174516
spiaggia-parco-ciani,Lugano,Lago di Lugano,undefined,l,1564,3336432,0.0004687642367655028
strandbeiz,Rapperswil-Jona,Zürichsee,undefined,l,462813,2075680,0.22296934016804132
strandboden-biel,Biel/Bienne,Bielersee,undefined,l,232888,4772691,0.04879595180161465
sundbach-strand,Beatenberg,Thunersee,undefined,l,765822,3263590,0.23465631405905765
thun-strandbad,Thun,Thunersee,undefined,l,80,3471340,2.3045855490963145e-05
thunersee_spiez_meierd_1,Spiez,Thunersee,undefined,l,1201871,2586161,0.4647317007719164
thur_schoenenberg_schaera,Kradolf-Schönenberg,Thur,undefined,r,2553601,5845672,0.43683617555004794
thur_schwarzenbach_meiliw,Wil (SG),Thur,undefined,r,3060408,5845672,0.5235339923279992
tiger-duck-beach,Saint-Sulpice (VD),Lac Léman,undefined,l,180119,3689451,0.04882000059087382
tolochenaz,Tolochenaz,Lac Léman,undefined,l,967030,3216862,0.3006128332517839
